+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 640.706   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.498%    |
| Final balance               | 36069.1   |
| Final equity                | 36064.0   |
| Net PNL + fees              | 34569.1   |
| Total gain                  | 2324.0%   |
| Average daily gain          | 0.524%    |
| DG mean std ratio           | 0.2138    |
| Price action distance mean  | 0.0218612 |
| Price action distance std   | 0.0221298 |
| Price action distance max   | 0.33806   |
| Closest bankruptcy          | 99.87%    |
| Lowest equity/balance ratio | 0.7473    |
| Equity/balance ratio std    | 0.01499   |
| No. fills                   | 7004      |
| No. entries                 | 4442      |
| No. closes                  | 2562      |
| No. initial entries         | 1634      |
| No. reentries               | 2808      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2562      |
| Average n fills per day     | 10.9      |
| Mean hours stuck            | 2.36532   |
| Max hours stuck             | 162.583   |
| PNL sum                     | 34860.0   |
| Profit sum                  | 34860.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -295.3    |
| Biggest pos size            | 122772.0  |
| Biggest pos cost            | 33450.0   |
| Volume quote                | 2953340.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.136%    |
| Final balance               | 1636.6    |
| Final equity                | 1636.6    |
| Net PNL + fees              | 136.601   |
| Total gain                  | 9.41%     |
| Average daily gain          | 0.0137%   |
| DG mean std ratio           | 0.1152    |
| Price action distance mean  | 0.0213053 |
| Price action distance std   | 0.0197971 |
| Price action distance max   | 0.211589  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9732    |
| Equity/balance ratio std    | 0.001145  |
| No. fills                   | 16443     |
| No. entries                 | 8903      |
| No. closes                  | 7540      |
| No. initial entries         | 7541      |
| No. reentries               | 1362      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7540      |
| Average n fills per day     | 25.7      |
| Mean hours stuck            | 0.935167  |
| Max hours stuck             | 159.85    |
| PNL sum                     | 141.2     |
| Profit sum                  | 141.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.554    |
| Biggest pos size            | 5018.0    |
| Biggest pos cost            | 164.1     |
| Volume quote                | 45541.6   |
+-----------------------------+-----------+
