+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 696.708  |
| Starting balance            | 1500.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.436%   |
| Final balance               | 2031.6   |
| Final equity                | 1913.55  |
| Net PNL + fees              | 531.605  |
| Total gain                  | 37.16%   |
| Average daily gain          | 0.0359%  |
| DG mean std ratio           | 0.08551  |
| Price action distance mean  | 0.633106 |
| Price action distance std   | 0.734824 |
| Price action distance max   | 4.98057  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9175   |
| Equity/balance ratio std    | 0.02481  |
| No. fills                   | 24867    |
| No. entries                 | 20932    |
| No. closes                  | 3935     |
| No. initial entries         | 3592     |
| No. reentries               | 17337    |
| No. unstuck entries         | 3        |
| No. unstuck closes          | 22       |
| No. normal closes           | 3913     |
| Average n fills per day     | 35.7     |
| Mean hours stuck            | 2.04964  |
| Max hours stuck             | 4466.35  |
| PNL sum                     | 557.4    |
| Profit sum                  | 620.7    |
| Loss sum                    | -63.24   |
| Fee sum                     | -25.84   |
| Biggest pos size            | 85.3     |
| Biggest pos cost            | 229.8    |
| Volume quote                | 258415.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.126%   |
| Final balance               | 1637.79  |
| Final equity                | 1636.37  |
| Net PNL + fees              | 137.785  |
| Total gain                  | 9.523%   |
| Average daily gain          | 0.0253%  |
| DG mean std ratio           | 0.01581  |
| Price action distance mean  | 0.294806 |
| Price action distance std   | 0.30661  |
| Price action distance max   | 0.833247 |
| Closest bankruptcy          | 93.21%   |
| Lowest equity/balance ratio | 0.5282   |
| Equity/balance ratio std    | 0.1202   |
| No. fills                   | 11534    |
| No. entries                 | 8196     |
| No. closes                  | 3338     |
| No. initial entries         | 3330     |
| No. reentries               | 4866     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 3338     |
| Average n fills per day     | 16.6     |
| Mean hours stuck            | 2.25655  |
| Max hours stuck             | 6459.23  |
| PNL sum                     | 142.8    |
| Profit sum                  | 142.8    |
| Loss sum                    | 0.0      |
| Fee sum                     | -5.058   |
| Biggest pos size            | 83.2     |
| Biggest pos cost            | 154.0    |
| Volume quote                | 50584.0  |
+-----------------------------+----------+
