+---------------------------------------------+
|                   Summary                   |
+-----------------------------+---------------+
| Metric                      | Value         |
+-----------------------------+---------------+
| Exchange                    | binance       |
| Market type                 | futures       |
| Symbol                      | MATICUSDT     |
| No. days                    | 685.492       |
| Starting balance            | 1500.0        |
|                             |               |
| Long                        | True          |
| ADG realized per exposure   | 0.433%        |
| Final balance               | 29014.3       |
| Final equity                | 29005.0       |
| Net PNL + fees              | 27514.3       |
| Total gain                  | 1944.0%       |
| Average daily gain          | 0.453%        |
| Loss to profit ratio        | 0.0007628     |
| Price action distance mean  | 0.0222044     |
| Price action distance std   | 0.0357367     |
| Price action distance max   | 0.375863      |
| Closest bankruptcy          | 99.96%        |
| Lowest equity/balance ratio | 0.7271        |
| Equity/balance ratio std    | 0.02362       |
| No. fills                   | 59822         |
| No. entries                 | 32979         |
| No. closes                  | 26843         |
| No. initial entries         | 25340         |
| No. reentries               | 7639          |
| No. unstuck entries         | 0             |
| No. unstuck closes          | 272           |
| No. normal closes           | 26571         |
| Average n fills per day     | 87.3          |
| Mean hours stuck            | 0.668066      |
| Max hours stuck             | 433.867       |
| PNL sum                     | 29160.0       |
| Profit sum                  | 29180.0       |
| Loss sum                    | -22.26        |
| Fee sum                     | -1647.0       |
| Biggest pos size            | 105665.0      |
| Biggest pos cost            | 24560.0       |
| Volume quote                | 16473800.0    |
|                             |               |
| Short                       | True          |
| ADG realized per exposure   | -20.0%        |
| Final balance               | 0.0015        |
| Final equity                | 0.0015        |
| Net PNL + fees              | -1415.86      |
| Total gain                  | -94.39%       |
| Average daily gain          | -0.67%        |
| Loss to profit ratio        | 52500000000.0 |
| Price action distance mean  | 0.401369      |
| Price action distance std   | 0.245466      |
| Price action distance max   | 0.903309      |
| Closest bankruptcy          | 5.457%        |
| Lowest equity/balance ratio | 0.07173       |
| Equity/balance ratio std    | 0.09165       |
| No. fills                   | 241           |
| No. entries                 | 30            |
| No. closes                  | 210           |
| No. initial entries         | 1             |
| No. reentries               | 27            |
| No. unstuck entries         | 2             |
| No. unstuck closes          | 210           |
| No. normal closes           | 0             |
| Average n fills per day     | 0.352         |
| Mean hours stuck            | 316.381       |
| Max hours stuck             | 13555.9       |
| PNL sum                     | -1416.0       |
| Profit sum                  | 2.697e-08     |
| Loss sum                    | -1416.0       |
| Fee sum                     | -0.03278      |
| Biggest pos size            | 10382.0       |
| Biggest pos cost            | 150.0         |
| Volume quote                | 180.839       |
+-----------------------------+---------------+
