+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 670.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.254%    |
| Final balance               | 8219.01   |
| Final equity                | 8127.53   |
| Net PNL + fees              | 6719.01   |
| Total gain                  | 467.4%    |
| Average daily gain          | 0.262%    |
| DG mean std ratio           | 0.1849    |
| Price action distance mean  | 0.0216337 |
| Price action distance std   | 0.0276917 |
| Price action distance max   | 0.682399  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.5944    |
| Equity/balance ratio std    | 0.01281   |
| No. fills                   | 37145     |
| No. entries                 | 22551     |
| No. closes                  | 14594     |
| No. initial entries         | 13168     |
| No. reentries               | 9373      |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 963       |
| No. normal closes           | 13631     |
| Average n fills per day     | 55.4      |
| Mean hours stuck            | 0.438514  |
| Max hours stuck             | 158.433   |
| PNL sum                     | 7011.0    |
| Profit sum                  | 7680.0    |
| Loss sum                    | -668.7    |
| Fee sum                     | -292.0    |
| Biggest pos size            | 9161.2    |
| Biggest pos cost            | 7032.0    |
| Volume quote                | 2920430.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.192%    |
| Final balance               | 1706.58   |
| Final equity                | 1706.58   |
| Net PNL + fees              | 206.58    |
| Total gain                  | 14.5%     |
| Average daily gain          | 0.0193%   |
| DG mean std ratio           | 0.1369    |
| Price action distance mean  | 0.0147822 |
| Price action distance std   | 0.0181494 |
| Price action distance max   | 0.206028  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.974     |
| Equity/balance ratio std    | 0.001263  |
| No. fills                   | 35797     |
| No. entries                 | 20243     |
| No. closes                  | 15554     |
| No. initial entries         | 15336     |
| No. reentries               | 4907      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 10        |
| No. normal closes           | 15544     |
| Average n fills per day     | 53.4      |
| Mean hours stuck            | 0.452353  |
| Max hours stuck             | 158.733   |
| PNL sum                     | 217.5     |
| Profit sum                  | 217.6     |
| Loss sum                    | -0.07495  |
| Fee sum                     | -10.95    |
| Biggest pos size            | 768.4     |
| Biggest pos cost            | 164.4     |
| Volume quote                | 109508.0  |
+-----------------------------+-----------+
