+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ADAUSDT    |
| No. days                    | 891.665    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.258%     |
| Final balance               | 14872.3    |
| Final equity                | 14871.8    |
| Net PNL + fees              | 13372.3    |
| Total gain                  | 925.6%     |
| Average daily gain          | 0.298%     |
| DG mean std ratio           | 0.0822     |
| Price action distance mean  | 0.00661699 |
| Price action distance std   | 0.0100248  |
| Price action distance max   | 0.229042   |
| Closest bankruptcy          | 99.91%     |
| Lowest equity/balance ratio | 0.8191     |
| Equity/balance ratio std    | 0.00482    |
| No. fills                   | 27104      |
| No. entries                 | 14947      |
| No. closes                  | 12157      |
| No. initial entries         | 11045      |
| No. reentries               | 3902       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 12157      |
| Average n fills per day     | 30.4       |
| Mean hours stuck            | 0.822158   |
| Max hours stuck             | 113.3      |
| PNL sum                     | 13880.0    |
| Profit sum                  | 13880.0    |
| Loss sum                    | 0.0        |
| Fee sum                     | -511.4     |
| Biggest pos size            | 81285.0    |
| Biggest pos cost            | 13750.0    |
| Volume quote                | 5113800.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.126%     |
| Final balance               | 1782.36    |
| Final equity                | 1782.35    |
| Net PNL + fees              | 282.365    |
| Total gain                  | 19.06%     |
| Average daily gain          | 0.0196%    |
| DG mean std ratio           | 0.08567    |
| Price action distance mean  | 0.0199121  |
| Price action distance std   | 0.0238416  |
| Price action distance max   | 0.213066   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9585     |
| Equity/balance ratio std    | 0.003774   |
| No. fills                   | 4727       |
| No. entries                 | 2847       |
| No. closes                  | 1880       |
| No. initial entries         | 1615       |
| No. reentries               | 1232       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 1880       |
| Average n fills per day     | 5.3        |
| Mean hours stuck            | 4.71468    |
| Max hours stuck             | 451.617    |
| PNL sum                     | 285.9      |
| Profit sum                  | 285.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -3.565     |
| Biggest pos size            | 7498.0     |
| Biggest pos cost            | 271.0      |
| Volume quote                | 35646.1    |
+-----------------------------+------------+
