+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | GMTUSDT   |
| No. days                    | 149.833   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.384%    |
| Final balance               | 2663.19   |
| Final equity                | 2659.41   |
| Net PNL + fees              | 1163.19   |
| Total gain                  | 80.85%    |
| Average daily gain          | 0.396%    |
| DG mean std ratio           | 0.2083    |
| Price action distance mean  | 0.0197406 |
| Price action distance std   | 0.0226831 |
| Price action distance max   | 0.342479  |
| Closest bankruptcy          | 99.85%    |
| Lowest equity/balance ratio | 0.7448    |
| Equity/balance ratio std    | 0.01126   |
| No. fills                   | 11744     |
| No. entries                 | 7077      |
| No. closes                  | 4667      |
| No. initial entries         | 4596      |
| No. reentries               | 2481      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 7         |
| No. normal closes           | 4660      |
| Average n fills per day     | 78.4      |
| Mean hours stuck            | 0.780043  |
| Max hours stuck             | 51.15     |
| PNL sum                     | 1213.0    |
| Profit sum                  | 1213.0    |
| Loss sum                    | -0.2245   |
| Fee sum                     | -49.58    |
| Biggest pos size            | 2705.0    |
| Biggest pos cost            | 2053.0    |
| Volume quote                | 495778.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.145%    |
| Final balance               | 1862.61   |
| Final equity                | 1861.45   |
| Net PNL + fees              | 362.608   |
| Total gain                  | 25.2%     |
| Average daily gain          | 0.147%    |
| DG mean std ratio           | 0.2061    |
| Price action distance mean  | 0.022052  |
| Price action distance std   | 0.0180241 |
| Price action distance max   | 0.131409  |
| Closest bankruptcy          | 73.17%    |
| Lowest equity/balance ratio | 0.8486    |
| Equity/balance ratio std    | 0.007674  |
| No. fills                   | 5756      |
| No. entries                 | 3423      |
| No. closes                  | 2333      |
| No. initial entries         | 2282      |
| No. reentries               | 1141      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2333      |
| Average n fills per day     | 38.4      |
| Mean hours stuck            | 1.63084   |
| Max hours stuck             | 81.9833   |
| PNL sum                     | 378.0     |
| Profit sum                  | 378.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -15.39    |
| Biggest pos size            | 3128.0    |
| Biggest pos cost            | 1839.0    |
| Volume quote                | 153901.0  |
+-----------------------------+-----------+
