+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LINKUSDT  |
| No. days                    | 937.667   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.122%    |
| Final balance               | 4718.47   |
| Final equity                | 4717.48   |
| Net PNL + fees              | 3218.47   |
| Total gain                  | 223.8%    |
| Average daily gain          | 0.126%    |
| DG mean std ratio           | 0.1417    |
| Price action distance mean  | 0.0175788 |
| Price action distance std   | 0.0198051 |
| Price action distance max   | 0.574873  |
| Closest bankruptcy          | 99.88%    |
| Lowest equity/balance ratio | 0.6354    |
| Equity/balance ratio std    | 0.01149   |
| No. fills                   | 27167     |
| No. entries                 | 14696     |
| No. closes                  | 12471     |
| No. initial entries         | 12211     |
| No. reentries               | 2485      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12471     |
| Average n fills per day     | 29.0      |
| Mean hours stuck            | 3.19387   |
| Max hours stuck             | 187.833   |
| PNL sum                     | 3357.0    |
| Profit sum                  | 3357.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -138.1    |
| Biggest pos size            | 715.8     |
| Biggest pos cost            | 4475.0    |
| Volume quote                | 1380870.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0963%   |
| Final balance               | 3698.51   |
| Final equity                | 3693.01   |
| Net PNL + fees              | 2198.51   |
| Total gain                  | 152.8%    |
| Average daily gain          | 0.102%    |
| DG mean std ratio           | 0.09056   |
| Price action distance mean  | 0.0187347 |
| Price action distance std   | 0.0172982 |
| Price action distance max   | 0.16582   |
| Closest bankruptcy          | 65.61%    |
| Lowest equity/balance ratio | 0.801     |
| Equity/balance ratio std    | 0.01002   |
| No. fills                   | 23156     |
| No. entries                 | 12816     |
| No. closes                  | 10340     |
| No. initial entries         | 9753      |
| No. reentries               | 3061      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 21        |
| No. normal closes           | 10319     |
| Average n fills per day     | 24.7      |
| Mean hours stuck            | 1.73388   |
| Max hours stuck             | 116.35    |
| PNL sum                     | 2292.0    |
| Profit sum                  | 2312.0    |
| Loss sum                    | -19.95    |
| Fee sum                     | -93.1     |
| Biggest pos size            | 694.5     |
| Biggest pos cost            | 3081.0    |
| Volume quote                | 930985.0  |
+-----------------------------+-----------+
