+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 948.652   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.117%    |
| Final balance               | 4557.28   |
| Final equity                | 4556.8    |
| Net PNL + fees              | 3057.28   |
| Total gain                  | 212.4%    |
| Average daily gain          | 0.122%    |
| DG mean std ratio           | 0.1288    |
| Price action distance mean  | 0.0111458 |
| Price action distance std   | 0.0132317 |
| Price action distance max   | 0.514219  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6604    |
| Equity/balance ratio std    | 0.005524  |
| No. fills                   | 23629     |
| No. entries                 | 13530     |
| No. closes                  | 10099     |
| No. initial entries         | 9945      |
| No. reentries               | 3585      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10099     |
| Average n fills per day     | 24.9      |
| Mean hours stuck            | 1.93602   |
| Max hours stuck             | 147.817   |
| PNL sum                     | 3187.0    |
| Profit sum                  | 3187.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -129.3    |
| Biggest pos size            | 9922.0    |
| Biggest pos cost            | 3896.0    |
| Volume quote                | 1292920.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0565%   |
| Final balance               | 2562.8    |
| Final equity                | 2560.64   |
| Net PNL + fees              | 1062.8    |
| Total gain                  | 73.74%    |
| Average daily gain          | 0.0614%   |
| DG mean std ratio           | 0.0634    |
| Price action distance mean  | 0.0256219 |
| Price action distance std   | 0.0198887 |
| Price action distance max   | 0.225862  |
| Closest bankruptcy          | 54.27%    |
| Lowest equity/balance ratio | 0.7079    |
| Equity/balance ratio std    | 0.007568  |
| No. fills                   | 15432     |
| No. entries                 | 9018      |
| No. closes                  | 6414      |
| No. initial entries         | 6300      |
| No. reentries               | 2718      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 44        |
| No. normal closes           | 6370      |
| Average n fills per day     | 16.3      |
| Mean hours stuck            | 3.26324   |
| Max hours stuck             | 184.5     |
| PNL sum                     | 1106.0    |
| Profit sum                  | 1107.0    |
| Loss sum                    | -0.8502   |
| Fee sum                     | -43.24    |
| Biggest pos size            | 5868.0    |
| Biggest pos cost            | 2408.0    |
| Volume quote                | 432397.0  |
+-----------------------------+-----------+
