+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | CHZUSDT   |
| No. days                    | 567.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.235%    |
| Final balance               | 5698.24   |
| Final equity                | 5686.75   |
| Net PNL + fees              | 4198.24   |
| Total gain                  | 298.5%    |
| Average daily gain          | 0.244%    |
| DG mean std ratio           | 0.1822    |
| Price action distance mean  | 0.0217948 |
| Price action distance std   | 0.0236621 |
| Price action distance max   | 1.32908   |
| Closest bankruptcy          | 99.96%    |
| Lowest equity/balance ratio | 0.4295    |
| Equity/balance ratio std    | 0.01029   |
| No. fills                   | 56110     |
| No. entries                 | 36222     |
| No. closes                  | 19888     |
| No. initial entries         | 15925     |
| No. reentries               | 20281     |
| No. unstuck entries         | 16        |
| No. unstuck closes          | 3210      |
| No. normal closes           | 16678     |
| Average n fills per day     | 98.8      |
| Mean hours stuck            | 0.466817  |
| Max hours stuck             | 189.783   |
| PNL sum                     | 4477.0    |
| Profit sum                  | 4919.0    |
| Loss sum                    | -441.6    |
| Fee sum                     | -279.1    |
| Biggest pos size            | 45291.0   |
| Biggest pos cost            | 4957.0    |
| Volume quote                | 2791150.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.163%    |
| Final balance               | 3781.21   |
| Final equity                | 3780.99   |
| Net PNL + fees              | 2281.21   |
| Total gain                  | 160.8%    |
| Average daily gain          | 0.17%     |
| DG mean std ratio           | 0.1415    |
| Price action distance mean  | 0.0174395 |
| Price action distance std   | 0.0174468 |
| Price action distance max   | 0.281529  |
| Closest bankruptcy          | 33.75%    |
| Lowest equity/balance ratio | 0.6081    |
| Equity/balance ratio std    | 0.01432   |
| No. fills                   | 32913     |
| No. entries                 | 18316     |
| No. closes                  | 14597     |
| No. initial entries         | 14160     |
| No. reentries               | 4156      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 204       |
| No. normal closes           | 14393     |
| Average n fills per day     | 58.0      |
| Mean hours stuck            | 1.06512   |
| Max hours stuck             | 74.0      |
| PNL sum                     | 2412.0    |
| Profit sum                  | 2421.0    |
| Loss sum                    | -8.838    |
| Fee sum                     | -130.5    |
| Biggest pos size            | 53406.0   |
| Biggest pos cost            | 3730.0    |
| Volume quote                | 1304510.0 |
+-----------------------------+-----------+
