+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | CVCUSDT   |
| No. days                    | 638.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.241%    |
| Final balance               | 1749.33   |
| Final equity                | 1749.32   |
| Net PNL + fees              | 249.328   |
| Total gain                  | 17.2%     |
| Average daily gain          | 0.0242%   |
| DG mean std ratio           | 0.1482    |
| Price action distance mean  | 0.0344117 |
| Price action distance std   | 0.0404982 |
| Price action distance max   | 0.866187  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9536    |
| Equity/balance ratio std    | 0.002242  |
| No. fills                   | 28459     |
| No. entries                 | 22586     |
| No. closes                  | 5873      |
| No. initial entries         | 5807      |
| No. reentries               | 16776     |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 45        |
| No. normal closes           | 5828      |
| Average n fills per day     | 44.6      |
| Mean hours stuck            | 0.778636  |
| Max hours stuck             | 279.1     |
| PNL sum                     | 258.1     |
| Profit sum                  | 259.2     |
| Loss sum                    | -1.137    |
| Fee sum                     | -8.736    |
| Biggest pos size            | 993.0     |
| Biggest pos cost            | 169.2     |
| Volume quote                | 87364.4   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.149%    |
| Final balance               | 1650.09   |
| Final equity                | 1649.7    |
| Net PNL + fees              | 150.091   |
| Total gain                  | 10.33%    |
| Average daily gain          | 0.016%    |
| DG mean std ratio           | 0.03402   |
| Price action distance mean  | 0.019592  |
| Price action distance std   | 0.0207346 |
| Price action distance max   | 0.471429  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9109    |
| Equity/balance ratio std    | 0.002191  |
| No. fills                   | 15604     |
| No. entries                 | 8622      |
| No. closes                  | 6982      |
| No. initial entries         | 6965      |
| No. reentries               | 1654      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 2         |
| No. normal closes           | 6980      |
| Average n fills per day     | 24.4      |
| Mean hours stuck            | 3.45637   |
| Max hours stuck             | 100.317   |
| PNL sum                     | 154.9     |
| Profit sum                  | 155.1     |
| Loss sum                    | -0.1749   |
| Fee sum                     | -4.824    |
| Biggest pos size            | 1031.0    |
| Biggest pos cost            | 161.3     |
| Volume quote                | 48238.0   |
+-----------------------------+-----------+
