+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 681.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.189%    |
| Final balance               | 1706.3    |
| Final equity                | 1706.27   |
| Net PNL + fees              | 206.297   |
| Total gain                  | 14.3%     |
| Average daily gain          | 0.0189%   |
| DG mean std ratio           | 0.1688    |
| Price action distance mean  | 0.0190641 |
| Price action distance std   | 0.0224039 |
| Price action distance max   | 0.615062  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9619    |
| Equity/balance ratio std    | 0.001028  |
| No. fills                   | 30716     |
| No. entries                 | 18573     |
| No. closes                  | 12143     |
| No. initial entries         | 12092     |
| No. reentries               | 6480      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 35        |
| No. normal closes           | 12108     |
| Average n fills per day     | 45.1      |
| Mean hours stuck            | 1.34736   |
| Max hours stuck             | 103.283   |
| PNL sum                     | 214.5     |
| Profit sum                  | 215.1     |
| Loss sum                    | -0.6769   |
| Fee sum                     | -8.157    |
| Biggest pos size            | 690.4     |
| Biggest pos cost            | 166.7     |
| Volume quote                | 81565.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.163%    |
| Final balance               | 1676.29   |
| Final equity                | 1676.29   |
| Net PNL + fees              | 176.29    |
| Total gain                  | 12.17%    |
| Average daily gain          | 0.0164%   |
| DG mean std ratio           | 0.1325    |
| Price action distance mean  | 0.0190239 |
| Price action distance std   | 0.0196014 |
| Price action distance max   | 0.207416  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9738    |
| Equity/balance ratio std    | 0.001633  |
| No. fills                   | 20420     |
| No. entries                 | 11543     |
| No. closes                  | 8877      |
| No. initial entries         | 8856      |
| No. reentries               | 2687      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 8872      |
| Average n fills per day     | 30.0      |
| Mean hours stuck            | 2.17422   |
| Max hours stuck             | 145.167   |
| PNL sum                     | 182.5     |
| Profit sum                  | 182.5     |
| Loss sum                    | -0.009839 |
| Fee sum                     | -6.235    |
| Biggest pos size            | 920.2     |
| Biggest pos cost            | 163.7     |
| Volume quote                | 62354.6   |
+-----------------------------+-----------+
