+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | HBARUSDT  |
| No. days                    | 512.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.187%    |
| Final balance               | 1651.1    |
| Final equity                | 1651.1    |
| Net PNL + fees              | 151.098   |
| Total gain                  | 10.49%    |
| Average daily gain          | 0.0187%   |
| DG mean std ratio           | 0.272     |
| Price action distance mean  | 0.0114639 |
| Price action distance std   | 0.0147596 |
| Price action distance max   | 0.436616  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9697    |
| Equity/balance ratio std    | 0.0004585 |
| No. fills                   | 18334     |
| No. entries                 | 11323     |
| No. closes                  | 7011      |
| No. initial entries         | 7003      |
| No. reentries               | 4320      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7011      |
| Average n fills per day     | 35.8      |
| Mean hours stuck            | 1.13557   |
| Max hours stuck             | 52.0167   |
| PNL sum                     | 157.3     |
| Profit sum                  | 157.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.238    |
| Biggest pos size            | 1165.0    |
| Biggest pos cost            | 153.2     |
| Volume quote                | 62380.1   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.28%     |
| Final balance               | 1731.61   |
| Final equity                | 1729.48   |
| Net PNL + fees              | 231.614   |
| Total gain                  | 16.07%    |
| Average daily gain          | 0.0278%   |
| DG mean std ratio           | 0.1548    |
| Price action distance mean  | 0.0230254 |
| Price action distance std   | 0.0254138 |
| Price action distance max   | 0.257839  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9655    |
| Equity/balance ratio std    | 0.002003  |
| No. fills                   | 25740     |
| No. entries                 | 17397     |
| No. closes                  | 8343      |
| No. initial entries         | 8255      |
| No. reentries               | 9141      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8343      |
| Average n fills per day     | 50.2      |
| Mean hours stuck            | 0.870411  |
| Max hours stuck             | 159.95    |
| PNL sum                     | 241.0     |
| Profit sum                  | 241.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.373    |
| Biggest pos size            | 1788.0    |
| Biggest pos cost            | 164.7     |
| Volume quote                | 93732.5   |
+-----------------------------+-----------+
