+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 563.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.193%    |
| Final balance               | 1672.24   |
| Final equity                | 1672.2    |
| Net PNL + fees              | 172.244   |
| Total gain                  | 12.04%    |
| Average daily gain          | 0.0194%   |
| DG mean std ratio           | 0.1655    |
| Price action distance mean  | 0.0241944 |
| Price action distance std   | 0.0271742 |
| Price action distance max   | 0.514622  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.966     |
| Equity/balance ratio std    | 0.001478  |
| No. fills                   | 26345     |
| No. entries                 | 14534     |
| No. closes                  | 11811     |
| No. initial entries         | 11784     |
| No. reentries               | 2744      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 13        |
| No. normal closes           | 11798     |
| Average n fills per day     | 46.7      |
| Mean hours stuck            | 2.09622   |
| Max hours stuck             | 178.817   |
| PNL sum                     | 180.5     |
| Profit sum                  | 193.2     |
| Loss sum                    | -12.67    |
| Fee sum                     | -8.298    |
| Biggest pos size            | 626.0     |
| Biggest pos cost            | 165.4     |
| Volume quote                | 82979.4   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.136%    |
| Final balance               | 1619.08   |
| Final equity                | 1619.03   |
| Net PNL + fees              | 119.075   |
| Total gain                  | 8.233%    |
| Average daily gain          | 0.0136%   |
| DG mean std ratio           | 0.1019    |
| Price action distance mean  | 0.0220402 |
| Price action distance std   | 0.0187363 |
| Price action distance max   | 0.227423  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9706    |
| Equity/balance ratio std    | 0.001221  |
| No. fills                   | 13495     |
| No. entries                 | 7257      |
| No. closes                  | 6238      |
| No. initial entries         | 6203      |
| No. reentries               | 1054      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 17        |
| No. normal closes           | 6221      |
| Average n fills per day     | 23.9      |
| Mean hours stuck            | 2.32817   |
| Max hours stuck             | 84.6833   |
| PNL sum                     | 123.5     |
| Profit sum                  | 124.1     |
| Loss sum                    | -0.6572   |
| Fee sum                     | -4.416    |
| Biggest pos size            | 667.0     |
| Biggest pos cost            | 165.5     |
| Volume quote                | 44161.6   |
+-----------------------------+-----------+
