+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 711.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.192%    |
| Final balance               | 5887.73   |
| Final equity                | 5762.88   |
| Net PNL + fees              | 4387.73   |
| Total gain                  | 297.8%    |
| Average daily gain          | 0.201%    |
| Loss to profit ratio        | 0.008815  |
| Price action distance mean  | 0.0232403 |
| Price action distance std   | 0.0271944 |
| Price action distance max   | 0.663146  |
| Closest bankruptcy          | 99.99%    |
| Lowest equity/balance ratio | 0.6013    |
| Equity/balance ratio std    | 0.01719   |
| No. fills                   | 9814      |
| No. entries                 | 5670      |
| No. closes                  | 4144      |
| No. initial entries         | 4094      |
| No. reentries               | 1576      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 22        |
| No. normal closes           | 4122      |
| Average n fills per day     | 13.8      |
| Mean hours stuck            | 2.7997    |
| Max hours stuck             | 360.183   |
| PNL sum                     | 4468.0    |
| Profit sum                  | 4507.0    |
| Loss sum                    | -39.73    |
| Fee sum                     | -79.98    |
| Biggest pos size            | 8941.3    |
| Biggest pos cost            | 5033.0    |
| Volume quote                | 799754.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -1.92%    |
| Final balance               | 0.0015    |
| Final equity                | 0.0015    |
| Net PNL + fees              | -1264.22  |
| Total gain                  | -83.71%   |
| Average daily gain          | -0.645%   |
| Loss to profit ratio        | 3.014     |
| Price action distance mean  | 0.0392832 |
| Price action distance std   | 0.0536501 |
| Price action distance max   | 0.467558  |
| Closest bankruptcy          | 5.908%    |
| Lowest equity/balance ratio | 0.1218    |
| Equity/balance ratio std    | 0.03616   |
| No. fills                   | 1653      |
| No. entries                 | 1179      |
| No. closes                  | 473       |
| No. initial entries         | 433       |
| No. reentries               | 746       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 473       |
| Average n fills per day     | 2.32      |
| Mean hours stuck            | 11.6993   |
| Max hours stuck             | 13243.8   |
| PNL sum                     | -1256.0   |
| Profit sum                  | 623.5     |
| Loss sum                    | -1879.0   |
| Fee sum                     | -8.576    |
| Biggest pos size            | 7391.1    |
| Biggest pos cost            | 2115.0    |
| Volume quote                | 83643.0   |
+-----------------------------+-----------+
