+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DGBUSDT   |
| No. days                    | 471.44    |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.109%    |
| Final balance               | 1579.1    |
| Final equity                | 1579.08   |
| Net PNL + fees              | 79.0953   |
| Total gain                  | 5.545%    |
| Average daily gain          | 0.0109%   |
| DG mean std ratio           | 0.1303    |
| Price action distance mean  | 0.0181807 |
| Price action distance std   | 0.0215939 |
| Price action distance max   | 1.11965   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9471    |
| Equity/balance ratio std    | 0.001108  |
| No. fills                   | 15776     |
| No. entries                 | 8951      |
| No. closes                  | 6825      |
| No. initial entries         | 6807      |
| No. reentries               | 2144      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6825      |
| Average n fills per day     | 33.5      |
| Mean hours stuck            | 2.45702   |
| Max hours stuck             | 95.3      |
| PNL sum                     | 83.17     |
| Profit sum                  | 83.17     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.074    |
| Biggest pos size            | 6930.0    |
| Biggest pos cost            | 154.7     |
| Volume quote                | 40735.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.235%    |
| Final balance               | 1675.81   |
| Final equity                | 1672.52   |
| Net PNL + fees              | 175.805   |
| Total gain                  | 12.14%    |
| Average daily gain          | 0.0234%   |
| DG mean std ratio           | 0.09589   |
| Price action distance mean  | 0.0361026 |
| Price action distance std   | 0.0351944 |
| Price action distance max   | 0.320316  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9529    |
| Equity/balance ratio std    | 0.003178  |
| No. fills                   | 17782     |
| No. entries                 | 13979     |
| No. closes                  | 3803      |
| No. initial entries         | 3763      |
| No. reentries               | 10214     |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 15        |
| No. normal closes           | 3788      |
| Average n fills per day     | 37.7      |
| Mean hours stuck            | 1.07237   |
| Max hours stuck             | 184.467   |
| PNL sum                     | 182.1     |
| Profit sum                  | 186.4     |
| Loss sum                    | -4.361    |
| Fee sum                     | -6.25     |
| Biggest pos size            | 15860.0   |
| Biggest pos cost            | 167.5     |
| Volume quote                | 62499.5   |
+-----------------------------+-----------+
