+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | IOTAUSDT  |
| No. days                    | 911.666   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.121%    |
| Final balance               | 1675.36   |
| Final equity                | 1675.07   |
| Net PNL + fees              | 175.357   |
| Total gain                  | 12.26%    |
| Average daily gain          | 0.0122%   |
| DG mean std ratio           | 0.1605    |
| Price action distance mean  | 0.0188467 |
| Price action distance std   | 0.0234403 |
| Price action distance max   | 0.349341  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.978     |
| Equity/balance ratio std    | 0.0007946 |
| No. fills                   | 32688     |
| No. entries                 | 19104     |
| No. closes                  | 13584     |
| No. initial entries         | 13572     |
| No. reentries               | 5532      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13584     |
| Average n fills per day     | 35.9      |
| Mean hours stuck            | 1.91862   |
| Max hours stuck             | 190.417   |
| PNL sum                     | 183.9     |
| Profit sum                  | 183.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.552    |
| Biggest pos size            | 1169.8    |
| Biggest pos cost            | 159.9     |
| Volume quote                | 85517.7   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.119%    |
| Final balance               | 1672.1    |
| Final equity                | 1663.38   |
| Net PNL + fees              | 172.105   |
| Total gain                  | 11.88%    |
| Average daily gain          | 0.0117%   |
| DG mean std ratio           | 0.04517   |
| Price action distance mean  | 0.0243745 |
| Price action distance std   | 0.0298567 |
| Price action distance max   | 0.412948  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9298    |
| Equity/balance ratio std    | 0.00346   |
| No. fills                   | 19306     |
| No. entries                 | 11352     |
| No. closes                  | 7954      |
| No. initial entries         | 7856      |
| No. reentries               | 3496      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 35        |
| No. normal closes           | 7919      |
| Average n fills per day     | 21.2      |
| Mean hours stuck            | 2.58629   |
| Max hours stuck             | 218.95    |
| PNL sum                     | 178.1     |
| Profit sum                  | 178.2     |
| Loss sum                    | -0.05902  |
| Fee sum                     | -6.039    |
| Biggest pos size            | 1064.1    |
| Biggest pos cost            | 163.5     |
| Volume quote                | 60394.5   |
+-----------------------------+-----------+
