+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | NEOUSDT   |
| No. days                    | 906.635   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0587%   |
| Final balance               | 1582.0    |
| Final equity                | 1581.8    |
| Net PNL + fees              | 81.9971   |
| Total gain                  | 5.748%    |
| Average daily gain          | 0.00588%  |
| DG mean std ratio           | 0.07378   |
| Price action distance mean  | 0.0240926 |
| Price action distance std   | 0.0238969 |
| Price action distance max   | 0.585854  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9631    |
| Equity/balance ratio std    | 0.0006836 |
| No. fills                   | 20145     |
| No. entries                 | 11001     |
| No. closes                  | 9144      |
| No. initial entries         | 9107      |
| No. reentries               | 1894      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 25        |
| No. normal closes           | 9119      |
| Average n fills per day     | 22.2      |
| Mean hours stuck            | 4.94191   |
| Max hours stuck             | 242.283   |
| PNL sum                     | 86.22     |
| Profit sum                  | 86.85     |
| Loss sum                    | -0.6357   |
| Fee sum                     | -4.222    |
| Biggest pos size            | 24.08     |
| Biggest pos cost            | 155.5     |
| Volume quote                | 42221.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.127%    |
| Final balance               | 1682.34   |
| Final equity                | 1682.29   |
| Net PNL + fees              | 182.34    |
| Total gain                  | 12.63%    |
| Average daily gain          | 0.0128%   |
| DG mean std ratio           | 0.08313   |
| Price action distance mean  | 0.0214889 |
| Price action distance std   | 0.020213  |
| Price action distance max   | 0.275355  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9623    |
| Equity/balance ratio std    | 0.00146   |
| No. fills                   | 24143     |
| No. entries                 | 14824     |
| No. closes                  | 9319      |
| No. initial entries         | 9276      |
| No. reentries               | 5548      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 16        |
| No. normal closes           | 9303      |
| Average n fills per day     | 26.6      |
| Mean hours stuck            | 2.39824   |
| Max hours stuck             | 116.183   |
| PNL sum                     | 189.4     |
| Profit sum                  | 190.7     |
| Loss sum                    | -1.368    |
| Fee sum                     | -7.038    |
| Biggest pos size            | 21.88     |
| Biggest pos cost            | 161.7     |
| Volume quote                | 70380.7   |
+-----------------------------+-----------+
