+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 687.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.147%    |
| Final balance               | 1659.17   |
| Final equity                | 1658.95   |
| Net PNL + fees              | 159.167   |
| Total gain                  | 11.08%    |
| Average daily gain          | 0.0147%   |
| DG mean std ratio           | 0.1074    |
| Price action distance mean  | 0.0267224 |
| Price action distance std   | 0.0257851 |
| Price action distance max   | 0.311901  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.977     |
| Equity/balance ratio std    | 0.001451  |
| No. fills                   | 14622     |
| No. entries                 | 7867      |
| No. closes                  | 6755      |
| No. initial entries         | 6615      |
| No. reentries               | 1227      |
| No. unstuck entries         | 25        |
| No. unstuck closes          | 0         |
| No. normal closes           | 6755      |
| Average n fills per day     | 21.3      |
| Mean hours stuck            | 2.85504   |
| Max hours stuck             | 125.05    |
| PNL sum                     | 166.2     |
| Profit sum                  | 166.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.038    |
| Biggest pos size            | 15.3      |
| Biggest pos cost            | 167.3     |
| Volume quote                | 70375.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.118%    |
| Final balance               | 1626.91   |
| Final equity                | 1626.72   |
| Net PNL + fees              | 126.905   |
| Total gain                  | 8.806%    |
| Average daily gain          | 0.0119%   |
| DG mean std ratio           | 0.1059    |
| Price action distance mean  | 0.0341521 |
| Price action distance std   | 0.0237253 |
| Price action distance max   | 0.182641  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9776    |
| Equity/balance ratio std    | 0.001146  |
| No. fills                   | 11247     |
| No. entries                 | 5978      |
| No. closes                  | 5269      |
| No. initial entries         | 5169      |
| No. reentries               | 800       |
| No. unstuck entries         | 9         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5269      |
| Average n fills per day     | 16.4      |
| Mean hours stuck            | 6.13113   |
| Max hours stuck             | 135.517   |
| PNL sum                     | 132.1     |
| Profit sum                  | 132.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.189    |
| Biggest pos size            | 22.5      |
| Biggest pos cost            | 167.4     |
| Volume quote                | 51889.0   |
+-----------------------------+-----------+
