+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 711.694   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.17%     |
| Final balance               | 1693.21   |
| Final equity                | 1692.98   |
| Net PNL + fees              | 193.21    |
| Total gain                  | 13.44%    |
| Average daily gain          | 0.0171%   |
| DG mean std ratio           | 0.1685    |
| Price action distance mean  | 0.0199173 |
| Price action distance std   | 0.0210454 |
| Price action distance max   | 0.830854  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9548    |
| Equity/balance ratio std    | 0.0008149 |
| No. fills                   | 24234     |
| No. entries                 | 14295     |
| No. closes                  | 9939      |
| No. initial entries         | 9650      |
| No. reentries               | 4634      |
| No. unstuck entries         | 11        |
| No. unstuck closes          | 0         |
| No. normal closes           | 9939      |
| Average n fills per day     | 34.1      |
| Mean hours stuck            | 2.01138   |
| Max hours stuck             | 203.45    |
| PNL sum                     | 201.6     |
| Profit sum                  | 201.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.354    |
| Biggest pos size            | 24.1      |
| Biggest pos cost            | 168.3     |
| Volume quote                | 83535.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0536%   |
| Final balance               | 1558.36   |
| Final equity                | 1558.36   |
| Net PNL + fees              | 58.3593   |
| Total gain                  | 4.105%    |
| Average daily gain          | 0.00561%  |
| DG mean std ratio           | 0.02569   |
| Price action distance mean  | 0.0462691 |
| Price action distance std   | 0.0453816 |
| Price action distance max   | 0.307394  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9557    |
| Equity/balance ratio std    | 0.003421  |
| No. fills                   | 10362     |
| No. entries                 | 6629      |
| No. closes                  | 3733      |
| No. initial entries         | 3596      |
| No. reentries               | 3027      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 22        |
| No. normal closes           | 3711      |
| Average n fills per day     | 14.6      |
| Mean hours stuck            | 2.12737   |
| Max hours stuck             | 226.367   |
| PNL sum                     | 61.58     |
| Profit sum                  | 71.61     |
| Loss sum                    | -10.03    |
| Fee sum                     | -3.219    |
| Biggest pos size            | 20.8      |
| Biggest pos cost            | 151.2     |
| Volume quote                | 32191.1   |
+-----------------------------+-----------+
