+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | HNTUSDT   |
| No. days                    | 682.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.226%    |
| Final balance               | 1750.16   |
| Final equity                | 1750.07   |
| Net PNL + fees              | 250.16    |
| Total gain                  | 17.32%    |
| Average daily gain          | 0.0228%   |
| DG mean std ratio           | 0.1691    |
| Price action distance mean  | 0.0214024 |
| Price action distance std   | 0.0255621 |
| Price action distance max   | 0.635547  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9611    |
| Equity/balance ratio std    | 0.001174  |
| No. fills                   | 29732     |
| No. entries                 | 17665     |
| No. closes                  | 12067     |
| No. initial entries         | 11950     |
| No. reentries               | 5707      |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 15        |
| No. normal closes           | 12052     |
| Average n fills per day     | 43.6      |
| Mean hours stuck            | 1.43564   |
| Max hours stuck             | 286.15    |
| PNL sum                     | 259.9     |
| Profit sum                  | 260.2     |
| Loss sum                    | -0.3336   |
| Fee sum                     | -9.709    |
| Biggest pos size            | 127.17    |
| Biggest pos cost            | 169.4     |
| Volume quote                | 97092.7   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.139%    |
| Final balance               | 1649.28   |
| Final equity                | 1649.28   |
| Net PNL + fees              | 149.285   |
| Total gain                  | 10.3%     |
| Average daily gain          | 0.014%    |
| DG mean std ratio           | 0.1003    |
| Price action distance mean  | 0.0187694 |
| Price action distance std   | 0.0200128 |
| Price action distance max   | 0.281337  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9608    |
| Equity/balance ratio std    | 0.001383  |
| No. fills                   | 16876     |
| No. entries                 | 9487      |
| No. closes                  | 7389      |
| No. initial entries         | 7297      |
| No. reentries               | 2186      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7389      |
| Average n fills per day     | 24.7      |
| Mean hours stuck            | 2.48936   |
| Max hours stuck             | 142.45    |
| PNL sum                     | 154.4     |
| Profit sum                  | 154.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.157    |
| Biggest pos size            | 151.81    |
| Biggest pos cost            | 163.8     |
| Volume quote                | 51568.9   |
+-----------------------------+-----------+
