+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 514.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.18%     |
| Final balance               | 1645.49   |
| Final equity                | 1645.42   |
| Net PNL + fees              | 145.494   |
| Total gain                  | 10.12%    |
| Average daily gain          | 0.0179%   |
| DG mean std ratio           | 0.1829    |
| Price action distance mean  | 0.01806   |
| Price action distance std   | 0.0201416 |
| Price action distance max   | 0.91133   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9523    |
| Equity/balance ratio std    | 0.0007278 |
| No. fills                   | 21038     |
| No. entries                 | 11708     |
| No. closes                  | 9330      |
| No. initial entries         | 9112      |
| No. reentries               | 2570      |
| No. unstuck entries         | 26        |
| No. unstuck closes          | 0         |
| No. normal closes           | 9330      |
| Average n fills per day     | 40.9      |
| Mean hours stuck            | 2.08314   |
| Max hours stuck             | 192.517   |
| PNL sum                     | 151.7     |
| Profit sum                  | 151.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.242    |
| Biggest pos size            | 375.6     |
| Biggest pos cost            | 162.7     |
| Volume quote                | 62421.1   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0615%   |
| Final balance               | 1548.25   |
| Final equity                | 1548.17   |
| Net PNL + fees              | 48.2538   |
| Total gain                  | 3.36%     |
| Average daily gain          | 0.00614%  |
| DG mean std ratio           | 0.1677    |
| Price action distance mean  | 0.0227339 |
| Price action distance std   | 0.0218313 |
| Price action distance max   | 0.187443  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9897    |
| Equity/balance ratio std    | 0.0003531 |
| No. fills                   | 10487     |
| No. entries                 | 5945      |
| No. closes                  | 4542      |
| No. initial entries         | 4480      |
| No. reentries               | 1464      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4542      |
| Average n fills per day     | 20.4      |
| Mean hours stuck            | 2.21182   |
| Max hours stuck             | 135.967   |
| PNL sum                     | 50.4      |
| Profit sum                  | 50.4      |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.145    |
| Biggest pos size            | 138.4     |
| Biggest pos cost            | 152.3     |
| Volume quote                | 21452.7   |
+-----------------------------+-----------+
