+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 685.492   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.317%    |
| Final balance               | 13123.9   |
| Final equity                | 12995.5   |
| Net PNL + fees              | 11623.9   |
| Total gain                  | 823.2%    |
| Average daily gain          | 0.322%    |
| Loss to profit ratio        | 0.003767  |
| Price action distance mean  | 0.0104118 |
| Price action distance std   | 0.013137  |
| Price action distance max   | 0.401835  |
| Closest bankruptcy          | 99.84%    |
| Lowest equity/balance ratio | 0.7133    |
| Equity/balance ratio std    | 0.009205  |
| No. fills                   | 54761     |
| No. entries                 | 30369     |
| No. closes                  | 24392     |
| No. initial entries         | 23593     |
| No. reentries               | 6776      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 91        |
| No. normal closes           | 24301     |
| Average n fills per day     | 79.9      |
| Mean hours stuck            | 0.700226  |
| Max hours stuck             | 69.8667   |
| PNL sum                     | 12350.0   |
| Profit sum                  | 12390.0   |
| Loss sum                    | -46.69    |
| Fee sum                     | -724.0    |
| Biggest pos size            | 106299.0  |
| Biggest pos cost            | 12870.0   |
| Volume quote                | 7240190.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.0%     |
| Final balance               | 0.0015    |
| Final equity                | 0.0015    |
| Net PNL + fees              | -1345.08  |
| Total gain                  | -89.65%   |
| Average daily gain          | -0.67%    |
| Loss to profit ratio        | 1741.0    |
| Price action distance mean  | 0.233798  |
| Price action distance std   | 0.0779429 |
| Price action distance max   | 0.487786  |
| Closest bankruptcy          | 5.737%    |
| Lowest equity/balance ratio | 0.1161    |
| Equity/balance ratio std    | 0.09444   |
| No. fills                   | 311       |
| No. entries                 | 15        |
| No. closes                  | 295       |
| No. initial entries         | 8         |
| No. reentries               | 6         |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 288       |
| No. normal closes           | 7         |
| Average n fills per day     | 0.454     |
| Mean hours stuck            | 257.059   |
| Max hours stuck             | 14632.3   |
| PNL sum                     | -1345.0   |
| Profit sum                  | 0.7729    |
| Loss sum                    | -1345.0   |
| Fee sum                     | -0.366    |
| Biggest pos size            | 108151.0  |
| Biggest pos cost            | 1501.0    |
| Volume quote                | 2230.7    |
+-----------------------------+-----------+
