+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 685.492   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.241%    |
| Final balance               | 1769.52   |
| Final equity                | 1767.96   |
| Net PNL + fees              | 269.523   |
| Total gain                  | 18.74%    |
| Average daily gain          | 0.0241%   |
| Loss to profit ratio        | 0.04966   |
| Price action distance mean  | 0.0547487 |
| Price action distance std   | 0.0450296 |
| Price action distance max   | 0.36137   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9766    |
| Equity/balance ratio std    | 0.001746  |
| No. fills                   | 40278     |
| No. entries                 | 32259     |
| No. closes                  | 8019      |
| No. initial entries         | 6405      |
| No. reentries               | 25843     |
| No. unstuck entries         | 11        |
| No. unstuck closes          | 39        |
| No. normal closes           | 7980      |
| Average n fills per day     | 58.8      |
| Mean hours stuck            | 0.895824  |
| Max hours stuck             | 370.717   |
| PNL sum                     | 281.1     |
| Profit sum                  | 295.8     |
| Loss sum                    | -14.69    |
| Fee sum                     | -11.56    |
| Biggest pos size            | 4645.0    |
| Biggest pos cost            | 175.5     |
| Volume quote                | 115647.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.118%    |
| Final balance               | 1626.23   |
| Final equity                | 1626.22   |
| Net PNL + fees              | 126.23    |
| Total gain                  | 8.773%    |
| Average daily gain          | 0.0119%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0295125 |
| Price action distance std   | 0.0298407 |
| Price action distance max   | 0.213081  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9737    |
| Equity/balance ratio std    | 0.001382  |
| No. fills                   | 18990     |
| No. entries                 | 12437     |
| No. closes                  | 6553      |
| No. initial entries         | 6347      |
| No. reentries               | 6090      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6553      |
| Average n fills per day     | 27.7      |
| Mean hours stuck            | 1.32356   |
| Max hours stuck             | 304.617   |
| PNL sum                     | 131.6     |
| Profit sum                  | 131.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.37     |
| Biggest pos size            | 3422.0    |
| Biggest pos cost            | 163.0     |
| Volume quote                | 53704.4   |
+-----------------------------+-----------+
