+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 681.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.146%    |
| Final balance               | 1656.7    |
| Final equity                | 1656.7    |
| Net PNL + fees              | 156.7     |
| Total gain                  | 11.18%    |
| Average daily gain          | 0.0146%   |
| Loss to profit ratio        | 0.008385  |
| Price action distance mean  | 0.0181826 |
| Price action distance std   | 0.0171684 |
| Price action distance max   | 0.317594  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9823    |
| Equity/balance ratio std    | 0.0007252 |
| No. fills                   | 43159     |
| No. entries                 | 22783     |
| No. closes                  | 20376     |
| No. initial entries         | 20300     |
| No. reentries               | 2480      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 9         |
| No. normal closes           | 20367     |
| Average n fills per day     | 63.3      |
| Mean hours stuck            | 2.41455   |
| Max hours stuck             | 84.5167   |
| PNL sum                     | 167.7     |
| Profit sum                  | 169.1     |
| Loss sum                    | -1.418    |
| Fee sum                     | -11.02    |
| Biggest pos size            | 4481.0    |
| Biggest pos cost            | 164.0     |
| Volume quote                | 110217.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0851%   |
| Final balance               | 1589.6    |
| Final equity                | 1589.56   |
| Net PNL + fees              | 89.5986   |
| Total gain                  | 6.293%    |
| Average daily gain          | 0.00855%  |
| Loss to profit ratio        | 0.007843  |
| Price action distance mean  | 0.0167232 |
| Price action distance std   | 0.0171661 |
| Price action distance max   | 0.180516  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.978     |
| Equity/balance ratio std    | 0.0009294 |
| No. fills                   | 19140     |
| No. entries                 | 10557     |
| No. closes                  | 8583      |
| No. initial entries         | 8561      |
| No. reentries               | 1995      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 9         |
| No. normal closes           | 8574      |
| Average n fills per day     | 28.1      |
| Mean hours stuck            | 1.46512   |
| Max hours stuck             | 51.3167   |
| PNL sum                     | 94.39     |
| Profit sum                  | 95.14     |
| Loss sum                    | -0.7461   |
| Fee sum                     | -4.796    |
| Biggest pos size            | 5136.0    |
| Biggest pos cost            | 158.7     |
| Volume quote                | 47961.7   |
+-----------------------------+-----------+
