+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 808.625   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.122%    |
| Final balance               | 1655.71   |
| Final equity                | 1655.71   |
| Net PNL + fees              | 155.708   |
| Total gain                  | 11.17%    |
| Average daily gain          | 0.0122%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0113521 |
| Price action distance std   | 0.0152868 |
| Price action distance max   | 0.482899  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9763    |
| Equity/balance ratio std    | 0.0005003 |
| No. fills                   | 40083     |
| No. entries                 | 22736     |
| No. closes                  | 17347     |
| No. initial entries         | 17348     |
| No. reentries               | 5388      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 17347     |
| Average n fills per day     | 49.6      |
| Mean hours stuck            | 1.26669   |
| Max hours stuck             | 283.15    |
| PNL sum                     | 167.6     |
| Profit sum                  | 167.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -11.89    |
| Biggest pos size            | 22499.0   |
| Biggest pos cost            | 119.3     |
| Volume quote                | 118921.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0783%   |
| Final balance               | 1598.01   |
| Final equity                | 1597.99   |
| Net PNL + fees              | 98.0127   |
| Total gain                  | 6.87%     |
| Average daily gain          | 0.00784%  |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0182812 |
| Price action distance std   | 0.0163411 |
| Price action distance max   | 0.401592  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9329    |
| Equity/balance ratio std    | 0.0004878 |
| No. fills                   | 23033     |
| No. entries                 | 13274     |
| No. closes                  | 9759      |
| No. initial entries         | 9755      |
| No. reentries               | 3519      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9759      |
| Average n fills per day     | 28.5      |
| Mean hours stuck            | 2.01171   |
| Max hours stuck             | 283.217   |
| PNL sum                     | 103.1     |
| Profit sum                  | 103.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.042    |
| Biggest pos size            | 43500.0   |
| Biggest pos cost            | 155.8     |
| Volume quote                | 50424.5   |
+-----------------------------+-----------+
