+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 706.708    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.364%     |
| Final balance               | 19510.9    |
| Final equity                | 19509.3    |
| Net PNL + fees              | 18010.9    |
| Total gain                  | 1374.0%    |
| Average daily gain          | 0.374%     |
| Loss to profit ratio        | 0.4836     |
| Price action distance mean  | 0.00955101 |
| Price action distance std   | 0.011765   |
| Price action distance max   | 0.277342   |
| Closest bankruptcy          | 99.92%     |
| Lowest equity/balance ratio | 0.7829     |
| Equity/balance ratio std    | 0.008203   |
| No. fills                   | 131929     |
| No. entries                 | 56815      |
| No. closes                  | 75114      |
| No. initial entries         | 36581      |
| No. reentries               | 19795      |
| No. unstuck entries         | 439        |
| No. unstuck closes          | 36198      |
| No. normal closes           | 38916      |
| Average n fills per day     | 187.0      |
| Mean hours stuck            | 0.340637   |
| Max hours stuck             | 72.3833    |
| PNL sum                     | 20610.0    |
| Profit sum                  | 39910.0    |
| Loss sum                    | -19300.0   |
| Fee sum                     | -2600.0    |
| Biggest pos size            | 115220.0   |
| Biggest pos cost            | 20890.0    |
| Volume quote                | 26002100.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -1.94%     |
| Final balance               | 0.0015     |
| Final equity                | 0.0015     |
| Net PNL + fees              | -1335.92   |
| Total gain                  | -89.03%    |
| Average daily gain          | -0.65%     |
| Loss to profit ratio        | 509.8      |
| Price action distance mean  | 0.227879   |
| Price action distance std   | 0.0786035  |
| Price action distance max   | 0.465484   |
| Closest bankruptcy          | 5.846%     |
| Lowest equity/balance ratio | 0.1291     |
| Equity/balance ratio std    | 0.09427    |
| No. fills                   | 1566       |
| No. entries                 | 28         |
| No. closes                  | 1537       |
| No. initial entries         | 17         |
| No. reentries               | 10         |
| No. unstuck entries         | 1          |
| No. unstuck closes          | 1521       |
| No. normal closes           | 16         |
| Average n fills per day     | 2.22       |
| Mean hours stuck            | 47.1138    |
| Max hours stuck             | 15164.8    |
| PNL sum                     | -1335.0    |
| Profit sum                  | 2.625      |
| Loss sum                    | -1338.0    |
| Fee sum                     | -0.4329    |
| Biggest pos size            | 108496.0   |
| Biggest pos cost            | 1502.0     |
| Volume quote                | 2842.61    |
+-----------------------------+------------+
