+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 738.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.16%     |
| Final balance               | 4901.36   |
| Final equity                | 4900.87   |
| Net PNL + fees              | 3401.36   |
| Total gain                  | 239.4%    |
| Average daily gain          | 0.166%    |
| Loss to profit ratio        | 0.002542  |
| Price action distance mean  | 0.014382  |
| Price action distance std   | 0.0336677 |
| Price action distance max   | 0.831405  |
| Closest bankruptcy          | 98.0%     |
| Lowest equity/balance ratio | 0.5411    |
| Equity/balance ratio std    | 0.02122   |
| No. fills                   | 29028     |
| No. entries                 | 16306     |
| No. closes                  | 12722     |
| No. initial entries         | 11845     |
| No. reentries               | 4461      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 22        |
| No. normal closes           | 12700     |
| Average n fills per day     | 39.3      |
| Mean hours stuck            | 1.36356   |
| Max hours stuck             | 270.817   |
| PNL sum                     | 3590.0    |
| Profit sum                  | 3600.0    |
| Loss sum                    | -9.15     |
| Fee sum                     | -189.1    |
| Biggest pos size            | 499.5     |
| Biggest pos cost            | 4248.0    |
| Volume quote                | 1891130.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.115%    |
| Final balance               | 1632.57   |
| Final equity                | 1632.55   |
| Net PNL + fees              | 132.574   |
| Total gain                  | 9.451%    |
| Average daily gain          | 0.0116%   |
| Loss to profit ratio        | 0.008126  |
| Price action distance mean  | 0.0254    |
| Price action distance std   | 0.0249507 |
| Price action distance max   | 0.193049  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.976     |
| Equity/balance ratio std    | 0.001622  |
| No. fills                   | 27336     |
| No. entries                 | 17255     |
| No. closes                  | 10081     |
| No. initial entries         | 9921      |
| No. reentries               | 7329      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 6         |
| No. normal closes           | 10075     |
| Average n fills per day     | 37.0      |
| Mean hours stuck            | 1.1905    |
| Max hours stuck             | 127.433   |
| PNL sum                     | 141.8     |
| Profit sum                  | 142.9     |
| Loss sum                    | -1.161    |
| Fee sum                     | -9.19     |
| Biggest pos size            | 27.3      |
| Biggest pos cost            | 163.1     |
| Volume quote                | 91896.8   |
+-----------------------------+-----------+
