+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 771.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.165%    |
| Final balance               | 1703.51   |
| Final equity                | 1703.04   |
| Net PNL + fees              | 203.511   |
| Total gain                  | 14.37%    |
| Average daily gain          | 0.0165%   |
| Loss to profit ratio        | 1.732e-05 |
| Price action distance mean  | 0.0200918 |
| Price action distance std   | 0.0234323 |
| Price action distance max   | 0.818481  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9547    |
| Equity/balance ratio std    | 0.0009124 |
| No. fills                   | 34482     |
| No. entries                 | 20153     |
| No. closes                  | 14329     |
| No. initial entries         | 13964     |
| No. reentries               | 6189      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 3         |
| No. normal closes           | 14326     |
| Average n fills per day     | 44.7      |
| Mean hours stuck            | 1.45904   |
| Max hours stuck             | 180.267   |
| PNL sum                     | 215.6     |
| Profit sum                  | 215.6     |
| Loss sum                    | -0.003734 |
| Fee sum                     | -12.06    |
| Biggest pos size            | 19.8      |
| Biggest pos cost            | 171.8     |
| Volume quote                | 120629.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.081%    |
| Final balance               | 1596.74   |
| Final equity                | 1596.74   |
| Net PNL + fees              | 96.7421   |
| Total gain                  | 6.952%    |
| Average daily gain          | 0.142%    |
| Loss to profit ratio        | 0.002875  |
| Price action distance mean  | 0.535246  |
| Price action distance std   | 0.313457  |
| Price action distance max   | 0.891597  |
| Closest bankruptcy          | 19.85%    |
| Lowest equity/balance ratio | 0.1844    |
| Equity/balance ratio std    | 0.2074    |
| No. fills                   | 17888     |
| No. entries                 | 15837     |
| No. closes                  | 2051      |
| No. initial entries         | 2043      |
| No. reentries               | 13794     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 3         |
| No. normal closes           | 2048      |
| Average n fills per day     | 23.2      |
| Mean hours stuck            | 2.39847   |
| Max hours stuck             | 13458.2   |
| PNL sum                     | 104.3     |
| Profit sum                  | 104.6     |
| Loss sum                    | -0.3007   |
| Fee sum                     | -7.535    |
| Biggest pos size            | 32.7      |
| Biggest pos cost            | 158.8     |
| Volume quote                | 75348.1   |
+-----------------------------+-----------+
