+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ATOMUSDT  |
| No. days                    | 946.492   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.132%    |
| Final balance               | 1698.94   |
| Final equity                | 1698.87   |
| Net PNL + fees              | 198.937   |
| Total gain                  | 14.05%    |
| Average daily gain          | 0.0132%   |
| Loss to profit ratio        | 0.01038   |
| Price action distance mean  | 0.0243466 |
| Price action distance std   | 0.0269617 |
| Price action distance max   | 0.729742  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9567    |
| Equity/balance ratio std    | 0.0009578 |
| No. fills                   | 42718     |
| No. entries                 | 25496     |
| No. closes                  | 17222     |
| No. initial entries         | 17079     |
| No. reentries               | 8417      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 17217     |
| Average n fills per day     | 45.1      |
| Mean hours stuck            | 1.40057   |
| Max hours stuck             | 191.483   |
| PNL sum                     | 210.8     |
| Profit sum                  | 213.0     |
| Loss sum                    | -2.212    |
| Fee sum                     | -11.85    |
| Biggest pos size            | 72.0      |
| Biggest pos cost            | 168.4     |
| Volume quote                | 118481.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.133%    |
| Final balance               | 1700.71   |
| Final equity                | 1688.17   |
| Net PNL + fees              | 200.71    |
| Total gain                  | 14.06%    |
| Average daily gain          | 0.0126%   |
| Loss to profit ratio        | 0.0002865 |
| Price action distance mean  | 0.0252377 |
| Price action distance std   | 0.0281541 |
| Price action distance max   | 0.208324  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9769    |
| Equity/balance ratio std    | 0.001752  |
| No. fills                   | 31224     |
| No. entries                 | 18567     |
| No. closes                  | 12657     |
| No. initial entries         | 12358     |
| No. reentries               | 6208      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 2         |
| No. normal closes           | 12655     |
| Average n fills per day     | 33.0      |
| Mean hours stuck            | 1.59611   |
| Max hours stuck             | 153.117   |
| PNL sum                     | 210.9     |
| Profit sum                  | 211.0     |
| Loss sum                    | -0.06046  |
| Fee sum                     | -10.23    |
| Biggest pos size            | 40.4      |
| Biggest pos cost            | 167.9     |
| Volume quote                | 102293.0  |
+-----------------------------+-----------+
