+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 717.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.188%    |
| Final balance               | 1717.13   |
| Final equity                | 1643.2    |
| Net PNL + fees              | 217.135   |
| Total gain                  | 15.14%    |
| Average daily gain          | 0.013%    |
| Loss to profit ratio        | 0.09287   |
| Price action distance mean  | 0.187034  |
| Price action distance std   | 0.358418  |
| Price action distance max   | 2.52755   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9344    |
| Equity/balance ratio std    | 0.0161    |
| No. fills                   | 20923     |
| No. entries                 | 12221     |
| No. closes                  | 8702      |
| No. initial entries         | 7979      |
| No. reentries               | 4240      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 7         |
| No. normal closes           | 8695      |
| Average n fills per day     | 29.2      |
| Mean hours stuck            | 2.12471   |
| Max hours stuck             | 1893.63   |
| PNL sum                     | 227.2     |
| Profit sum                  | 250.4     |
| Loss sum                    | -23.26    |
| Fee sum                     | -10.02    |
| Biggest pos size            | 21.6      |
| Biggest pos cost            | 174.3     |
| Volume quote                | 100212.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.128%    |
| Final balance               | 1644.41   |
| Final equity                | 1643.81   |
| Net PNL + fees              | 144.408   |
| Total gain                  | 10.13%    |
| Average daily gain          | 0.0128%   |
| Loss to profit ratio        | 0.003388  |
| Price action distance mean  | 0.0332881 |
| Price action distance std   | 0.0289302 |
| Price action distance max   | 0.204652  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9811    |
| Equity/balance ratio std    | 0.001642  |
| No. fills                   | 17830     |
| No. entries                 | 9775      |
| No. closes                  | 8055      |
| No. initial entries         | 7753      |
| No. reentries               | 2020      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 5         |
| No. normal closes           | 8050      |
| Average n fills per day     | 24.8      |
| Mean hours stuck            | 2.64147   |
| Max hours stuck             | 265.733   |
| PNL sum                     | 151.9     |
| Profit sum                  | 152.4     |
| Loss sum                    | -0.5164   |
| Fee sum                     | -7.494    |
| Biggest pos size            | 21.9      |
| Biggest pos cost            | 170.6     |
| Volume quote                | 74939.6   |
+-----------------------------+-----------+
