+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 726.708  |
| Starting balance            | 1500.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.303%   |
| Final balance               | 1869.49  |
| Final equity                | 1747.53  |
| Net PNL + fees              | 369.49   |
| Total gain                  | 25.98%   |
| Average daily gain          | 0.0216%  |
| Loss to profit ratio        | 0.09998  |
| Price action distance mean  | 0.436662 |
| Price action distance std   | 0.619402 |
| Price action distance max   | 2.9767   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.9259   |
| Equity/balance ratio std    | 0.02216  |
| No. fills                   | 24986    |
| No. entries                 | 15993    |
| No. closes                  | 8993     |
| No. initial entries         | 7502     |
| No. reentries               | 8491     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 10       |
| No. normal closes           | 8983     |
| Average n fills per day     | 34.4     |
| Mean hours stuck            | 1.45148  |
| Max hours stuck             | 3021.9   |
| PNL sum                     | 389.7    |
| Profit sum                  | 433.0    |
| Loss sum                    | -43.29   |
| Fee sum                     | -20.17   |
| Biggest pos size            | 99.3     |
| Biggest pos cost            | 201.2    |
| Volume quote                | 201728.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0984%  |
| Final balance               | 1611.17  |
| Final equity                | 1609.03  |
| Net PNL + fees              | 111.17   |
| Total gain                  | 7.737%   |
| Average daily gain          | 0.0169%  |
| Loss to profit ratio        | 0.01585  |
| Price action distance mean  | 0.268402 |
| Price action distance std   | 0.290782 |
| Price action distance max   | 0.803706 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6168   |
| Equity/balance ratio std    | 0.09477  |
| No. fills                   | 12896    |
| No. entries                 | 8284     |
| No. closes                  | 4612     |
| No. initial entries         | 4279     |
| No. reentries               | 4001     |
| No. unstuck entries         | 4        |
| No. unstuck closes          | 3        |
| No. normal closes           | 4609     |
| Average n fills per day     | 17.7     |
| Mean hours stuck            | 2.09955  |
| Max hours stuck             | 6400.3   |
| PNL sum                     | 116.1    |
| Profit sum                  | 117.9    |
| Loss sum                    | -1.87    |
| Fee sum                     | -4.882   |
| Biggest pos size            | 81.2     |
| Biggest pos cost            | 160.2    |
| Volume quote                | 48818.8  |
+-----------------------------+----------+
