+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 687.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.261%    |
| Final balance               | 9026.53   |
| Final equity                | 8995.81   |
| Net PNL + fees              | 7526.53   |
| Total gain                  | 528.1%    |
| Average daily gain          | 0.273%    |
| DG mean std ratio           | 0.1749    |
| Price action distance mean  | 0.0128504 |
| Price action distance std   | 0.018985  |
| Price action distance max   | 0.949974  |
| Closest bankruptcy          | 99.39%    |
| Lowest equity/balance ratio | 0.5113    |
| Equity/balance ratio std    | 0.01131   |
| No. fills                   | 44818     |
| No. entries                 | 32647     |
| No. closes                  | 12171     |
| No. initial entries         | 11106     |
| No. reentries               | 21541     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12171     |
| Average n fills per day     | 65.2      |
| Mean hours stuck            | 0.409086  |
| Max hours stuck             | 82.5      |
| PNL sum                     | 7922.0    |
| Profit sum                  | 7922.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -395.5    |
| Biggest pos size            | 1271.7    |
| Biggest pos cost            | 8879.0    |
| Volume quote                | 3955030.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.224%    |
| Final balance               | 2949.48   |
| Final equity                | 2949.37   |
| Net PNL + fees              | 1449.48   |
| Total gain                  | 100.4%    |
| Average daily gain          | 0.101%    |
| DG mean std ratio           | 0.1312    |
| Price action distance mean  | 0.0146817 |
| Price action distance std   | 0.0185766 |
| Price action distance max   | 0.258064  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9176    |
| Equity/balance ratio std    | 0.009252  |
| No. fills                   | 29807     |
| No. entries                 | 17170     |
| No. closes                  | 12637     |
| No. initial entries         | 12150     |
| No. reentries               | 5020      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12637     |
| Average n fills per day     | 43.3      |
| Mean hours stuck            | 0.56147   |
| Max hours stuck             | 325.917   |
| PNL sum                     | 1506.0    |
| Profit sum                  | 1506.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -56.73    |
| Biggest pos size            | 171.9     |
| Biggest pos cost            | 1276.0    |
| Volume quote                | 567282.0  |
+-----------------------------+-----------+
