+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 700.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.304%    |
| Final balance               | 12575.4   |
| Final equity                | 12574.6   |
| Net PNL + fees              | 11075.4   |
| Total gain                  | 780.2%    |
| Average daily gain          | 0.313%    |
| DG mean std ratio           | 0.2276    |
| Price action distance mean  | 0.0107173 |
| Price action distance std   | 0.0147462 |
| Price action distance max   | 0.857127  |
| Closest bankruptcy          | 99.87%    |
| Lowest equity/balance ratio | 0.5384    |
| Equity/balance ratio std    | 0.01213   |
| No. fills                   | 53966     |
| No. entries                 | 31788     |
| No. closes                  | 22178     |
| No. initial entries         | 20992     |
| No. reentries               | 10796     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 22178     |
| Average n fills per day     | 77.0      |
| Mean hours stuck            | 0.318624  |
| Max hours stuck             | 114.95    |
| PNL sum                     | 11700.0   |
| Profit sum                  | 11700.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -628.3    |
| Biggest pos size            | 1888.7    |
| Biggest pos cost            | 12300.0   |
| Volume quote                | 6282770.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.166%    |
| Final balance               | 1684.45   |
| Final equity                | 1620.2    |
| Net PNL + fees              | 184.446   |
| Total gain                  | 12.56%    |
| Average daily gain          | 0.306%    |
| DG mean std ratio           | 0.0385    |
| Price action distance mean  | 0.63649   |
| Price action distance std   | 0.265717  |
| Price action distance max   | 0.904301  |
| Closest bankruptcy          | 6.932%    |
| Lowest equity/balance ratio | 0.0712    |
| Equity/balance ratio std    | 0.2324    |
| No. fills                   | 2997      |
| No. entries                 | 2279      |
| No. closes                  | 718       |
| No. initial entries         | 166       |
| No. reentries               | 2113      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 718       |
| Average n fills per day     | 4.28      |
| Mean hours stuck            | 8.13987   |
| Max hours stuck             | 13745.4   |
| PNL sum                     | 188.3     |
| Profit sum                  | 188.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.894    |
| Biggest pos size            | 39.5      |
| Biggest pos cost            | 169.0     |
| Volume quote                | 38937.7   |
+-----------------------------+-----------+
