+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MANAUSDT   |
| No. days                    | 505.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.422%     |
| Final balance               | 1856.64    |
| Final equity                | 1856.47    |
| Net PNL + fees              | 356.64     |
| Total gain                  | 24.69%     |
| Average daily gain          | 0.0403%    |
| DG mean std ratio           | 0.2923     |
| Price action distance mean  | 0.0133657  |
| Price action distance std   | 0.0154295  |
| Price action distance max   | 1.04135    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9491     |
| Equity/balance ratio std    | 0.0009433  |
| No. fills                   | 45100      |
| No. entries                 | 31774      |
| No. closes                  | 13326      |
| No. initial entries         | 12354      |
| No. reentries               | 19420      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 18         |
| No. normal closes           | 13308      |
| Average n fills per day     | 89.2       |
| Mean hours stuck            | 0.286994   |
| Max hours stuck             | 64.6833    |
| PNL sum                     | 370.4      |
| Profit sum                  | 370.8      |
| Loss sum                    | -0.3911    |
| Fee sum                     | -13.73     |
| Biggest pos size            | 359.3      |
| Biggest pos cost            | 185.5      |
| Volume quote                | 137289.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.482%     |
| Final balance               | 1914.33    |
| Final equity                | 1914.33    |
| Net PNL + fees              | 414.326    |
| Total gain                  | 28.75%     |
| Average daily gain          | 0.0486%    |
| DG mean std ratio           | 0.18       |
| Price action distance mean  | 0.00990809 |
| Price action distance std   | 0.016492   |
| Price action distance max   | 0.452894   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9173     |
| Equity/balance ratio std    | 0.001857   |
| No. fills                   | 36119      |
| No. entries                 | 21645      |
| No. closes                  | 14474      |
| No. initial entries         | 13448      |
| No. reentries               | 8187       |
| No. unstuck entries         | 10         |
| No. unstuck closes          | 164        |
| No. normal closes           | 14310      |
| Average n fills per day     | 71.4       |
| Mean hours stuck            | 0.343999   |
| Max hours stuck             | 85.9833    |
| PNL sum                     | 431.2      |
| Profit sum                  | 442.3      |
| Loss sum                    | -11.01     |
| Fee sum                     | -16.92     |
| Biggest pos size            | 323.5      |
| Biggest pos cost            | 191.3      |
| Volume quote                | 169199.0   |
+-----------------------------+------------+
