+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 771.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.158%    |
| Final balance               | 1694.19   |
| Final equity                | 1694.13   |
| Net PNL + fees              | 194.19    |
| Total gain                  | 13.48%    |
| Average daily gain          | 0.0158%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.014459  |
| Price action distance std   | 0.0193706 |
| Price action distance max   | 0.728416  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9579    |
| Equity/balance ratio std    | 0.0009448 |
| No. fills                   | 18058     |
| No. entries                 | 10138     |
| No. closes                  | 7920      |
| No. initial entries         | 7510      |
| No. reentries               | 2626      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7920      |
| Average n fills per day     | 23.4      |
| Mean hours stuck            | 1.82689   |
| Max hours stuck             | 180.133   |
| PNL sum                     | 202.2     |
| Profit sum                  | 202.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.024    |
| Biggest pos size            | 25.0      |
| Biggest pos cost            | 165.1     |
| Volume quote                | 80240.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.101%    |
| Final balance               | 1622.11   |
| Final equity                | 1622.11   |
| Net PNL + fees              | 122.114   |
| Total gain                  | 8.491%    |
| Average daily gain          | 0.0102%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0168845 |
| Price action distance std   | 0.0145281 |
| Price action distance max   | 0.151959  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.982     |
| Equity/balance ratio std    | 0.0008223 |
| No. fills                   | 15914     |
| No. entries                 | 8789      |
| No. closes                  | 7125      |
| No. initial entries         | 6681      |
| No. reentries               | 2108      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7125      |
| Average n fills per day     | 20.6      |
| Mean hours stuck            | 2.58601   |
| Max hours stuck             | 91.0167   |
| PNL sum                     | 127.4     |
| Profit sum                  | 127.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.244    |
| Biggest pos size            | 24.1      |
| Biggest pos cost            | 165.1     |
| Volume quote                | 52439.5   |
+-----------------------------+-----------+
