+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 900.625   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.151%    |
| Final balance               | 2109.06   |
| Final equity                | 2109.06   |
| Net PNL + fees              | 609.058   |
| Total gain                  | 42.11%    |
| Average daily gain          | 0.0392%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.167856  |
| Price action distance std   | 0.340076  |
| Price action distance max   | 1.50062   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8499    |
| Equity/balance ratio std    | 0.04444   |
| No. fills                   | 144113    |
| No. entries                 | 18865     |
| No. closes                  | 125248    |
| No. initial entries         | 10691     |
| No. reentries               | 8174      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 125248    |
| Average n fills per day     | 160.0     |
| Mean hours stuck            | 0.269497  |
| Max hours stuck             | 4106.82   |
| PNL sum                     | 631.7     |
| Profit sum                  | 631.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -22.62    |
| Biggest pos size            | 49885.0   |
| Biggest pos cost            | 516.5     |
| Volume quote                | 226231.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -12.7%    |
| Final balance               | 0.0015    |
| Final equity                | 0.0015    |
| Net PNL + fees              | -1409.13  |
| Total gain                  | -93.94%   |
| Average daily gain          | -0.51%    |
| Loss to profit ratio        | 299.6     |
| Price action distance mean  | 0.0610596 |
| Price action distance std   | 0.122919  |
| Price action distance max   | 0.88187   |
| Closest bankruptcy          | 5.7%      |
| Lowest equity/balance ratio | 0.1039    |
| Equity/balance ratio std    | 0.01613   |
| No. fills                   | 2777      |
| No. entries                 | 412       |
| No. closes                  | 2364      |
| No. initial entries         | 99        |
| No. reentries               | 313       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2364      |
| Average n fills per day     | 3.08      |
| Mean hours stuck            | 12.4726   |
| Max hours stuck             | 16749.1   |
| PNL sum                     | -1409.0   |
| Profit sum                  | 4.719     |
| Loss sum                    | -1414.0   |
| Fee sum                     | -0.07779  |
| Biggest pos size            | 30881.0   |
| Biggest pos cost            | 180.6     |
| Volume quote                | 597.293   |
+-----------------------------+-----------+
