+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 1086.65   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.11%     |
| Final balance               | 2020.62   |
| Final equity                | 2020.62   |
| Net PNL + fees              | 520.624   |
| Total gain                  | 36.3%     |
| Average daily gain          | 0.0281%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0144401 |
| Price action distance std   | 0.031409  |
| Price action distance max   | 0.549356  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9114    |
| Equity/balance ratio std    | 0.0063    |
| No. fills                   | 112648    |
| No. entries                 | 27283     |
| No. closes                  | 85365     |
| No. initial entries         | 20232     |
| No. reentries               | 7051      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 85365     |
| Average n fills per day     | 104.0     |
| Mean hours stuck            | 0.486561  |
| Max hours stuck             | 379.85    |
| PNL sum                     | 544.5     |
| Profit sum                  | 544.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -23.87    |
| Biggest pos size            | 2349.0    |
| Biggest pos cost            | 488.3     |
| Volume quote                | 238721.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0489%   |
| Final balance               | 1598.67   |
| Final equity                | 1598.59   |
| Net PNL + fees              | 98.6657   |
| Total gain                  | 6.64%     |
| Average daily gain          | 0.00809%  |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.049876  |
| Price action distance std   | 0.0982339 |
| Price action distance max   | 0.609832  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8128    |
| Equity/balance ratio std    | 0.02278   |
| No. fills                   | 7377      |
| No. entries                 | 3466      |
| No. closes                  | 3911      |
| No. initial entries         | 1234      |
| No. reentries               | 2232      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3911      |
| Average n fills per day     | 6.79      |
| Mean hours stuck            | 6.58411   |
| Max hours stuck             | 1148.03   |
| PNL sum                     | 99.6      |
| Profit sum                  | 99.6      |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.9316   |
| Biggest pos size            | 695.0     |
| Biggest pos cost            | 192.4     |
| Volume quote                | 9315.59   |
+-----------------------------+-----------+
