+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | CHZUSDT   |
| No. days                    | 705.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.152%    |
| Final balance               | 1960.35   |
| Final equity                | 1715.19   |
| Net PNL + fees              | 460.352   |
| Total gain                  | 31.93%    |
| Average daily gain          | 0.0243%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.398114  |
| Price action distance std   | 0.522911  |
| Price action distance max   | 4.02859   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8003    |
| Equity/balance ratio std    | 0.0563    |
| No. fills                   | 66521     |
| No. entries                 | 12062     |
| No. closes                  | 54459     |
| No. initial entries         | 6258      |
| No. reentries               | 5804      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 54459     |
| Average n fills per day     | 94.3      |
| Mean hours stuck            | 0.442682  |
| Max hours stuck             | 4699.97   |
| PNL sum                     | 479.0     |
| Profit sum                  | 479.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -18.66    |
| Biggest pos size            | 9893.0    |
| Biggest pos cost            | 490.2     |
| Volume quote                | 186576.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.119%    |
| Final balance               | 1659.44   |
| Final equity                | 1659.42   |
| Net PNL + fees              | 159.44    |
| Total gain                  | 10.78%    |
| Average daily gain          | 0.0144%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0208296 |
| Price action distance std   | 0.0168757 |
| Price action distance max   | 0.305689  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9456    |
| Equity/balance ratio std    | 0.001344  |
| No. fills                   | 18990     |
| No. entries                 | 5471      |
| No. closes                  | 13519     |
| No. initial entries         | 2296      |
| No. reentries               | 3175      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 13519     |
| Average n fills per day     | 26.9      |
| Mean hours stuck            | 1.54817   |
| Max hours stuck             | 109.017   |
| PNL sum                     | 161.6     |
| Profit sum                  | 161.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.19     |
| Biggest pos size            | 3507.0    |
| Biggest pos cost            | 200.1     |
| Volume quote                | 21895.1   |
+-----------------------------+-----------+
