+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 473.854   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0971%   |
| Final balance               | 1682.83   |
| Final equity                | 1302.32   |
| Net PNL + fees              | 182.829   |
| Total gain                  | 12.7%     |
| Average daily gain          | -0.0288%  |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 3.38325   |
| Price action distance std   | 3.0012    |
| Price action distance max   | 10.7791   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7713    |
| Equity/balance ratio std    | 0.08182   |
| No. fills                   | 17339     |
| No. entries                 | 5744      |
| No. closes                  | 11595     |
| No. initial entries         | 3642      |
| No. reentries               | 2102      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11595     |
| Average n fills per day     | 36.6      |
| Mean hours stuck            | 1.63234   |
| Max hours stuck             | 9330.93   |
| PNL sum                     | 190.5     |
| Profit sum                  | 190.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.647    |
| Biggest pos size            | 35.6      |
| Biggest pos cost            | 420.6     |
| Volume quote                | 76473.3   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0923%   |
| Final balance               | 1580.79   |
| Final equity                | 1580.76   |
| Net PNL + fees              | 80.7899   |
| Total gain                  | 5.46%     |
| Average daily gain          | 0.0111%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0221086 |
| Price action distance std   | 0.0193377 |
| Price action distance max   | 0.199538  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9704    |
| Equity/balance ratio std    | 0.002084  |
| No. fills                   | 8996      |
| No. entries                 | 3001      |
| No. closes                  | 5995      |
| No. initial entries         | 1476      |
| No. reentries               | 1525      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5995      |
| Average n fills per day     | 19.0      |
| Mean hours stuck            | 2.35699   |
| Max hours stuck             | 166.517   |
| PNL sum                     | 81.91     |
| Profit sum                  | 81.91     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.116    |
| Biggest pos size            | 105.1     |
| Biggest pos cost            | 186.0     |
| Volume quote                | 11157.9   |
+-----------------------------+-----------+
