+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ETCUSDT   |
| No. days                    | 927.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.228%    |
| Final balance               | 12365.0   |
| Final equity                | 12305.7   |
| Net PNL + fees              | 10865.0   |
| Total gain                  | 750.9%    |
| Average daily gain          | 0.238%    |
| DG mean std ratio           | 0.1538    |
| Price action distance mean  | 0.0123131 |
| Price action distance std   | 0.0146023 |
| Price action distance max   | 0.278568  |
| Closest bankruptcy          | 99.85%    |
| Lowest equity/balance ratio | 0.7821    |
| Equity/balance ratio std    | 0.007438  |
| No. fills                   | 34829     |
| No. entries                 | 19457     |
| No. closes                  | 15372     |
| No. initial entries         | 15030     |
| No. reentries               | 4427      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15372     |
| Average n fills per day     | 37.5      |
| Mean hours stuck            | 0.645519  |
| Max hours stuck             | 212.0     |
| PNL sum                     | 11260.0   |
| Profit sum                  | 11260.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -399.1    |
| Biggest pos size            | 508.8     |
| Biggest pos cost            | 10480.0   |
| Volume quote                | 3990860.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.23%     |
| Final balance               | 1856.14   |
| Final equity                | 1642.79   |
| Net PNL + fees              | 356.138   |
| Total gain                  | 24.81%    |
| Average daily gain          | 0.0158%   |
| DG mean std ratio           | 0.01434   |
| Price action distance mean  | 0.100059  |
| Price action distance std   | 0.116467  |
| Price action distance max   | 0.80464   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.589     |
| Equity/balance ratio std    | 0.02905   |
| No. fills                   | 34405     |
| No. entries                 | 27913     |
| No. closes                  | 6492      |
| No. initial entries         | 3157      |
| No. reentries               | 24752     |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 18        |
| No. normal closes           | 6474      |
| Average n fills per day     | 37.1      |
| Mean hours stuck            | 1.04594   |
| Max hours stuck             | 1042.93   |
| PNL sum                     | 372.2     |
| Profit sum                  | 398.2     |
| Loss sum                    | -26.0     |
| Fee sum                     | -16.03    |
| Biggest pos size            | 24.2      |
| Biggest pos cost            | 186.7     |
| Volume quote                | 160261.0  |
+-----------------------------+-----------+
