+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 496.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.306%    |
| Final balance               | 6857.24   |
| Final equity                | 6835.39   |
| Net PNL + fees              | 5357.24   |
| Total gain                  | 371.2%    |
| Average daily gain          | 0.313%    |
| DG mean std ratio           | 0.2068    |
| Price action distance mean  | 0.0209088 |
| Price action distance std   | 0.0278845 |
| Price action distance max   | 1.25488   |
| Closest bankruptcy          | 99.99%    |
| Lowest equity/balance ratio | 0.4436    |
| Equity/balance ratio std    | 0.0113    |
| No. fills                   | 27028     |
| No. entries                 | 16516     |
| No. closes                  | 10512     |
| No. initial entries         | 10225     |
| No. reentries               | 6291      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10512     |
| Average n fills per day     | 54.4      |
| Mean hours stuck            | 0.446177  |
| Max hours stuck             | 95.9333   |
| PNL sum                     | 5568.0    |
| Profit sum                  | 5568.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -211.2    |
| Biggest pos size            | 5116.2    |
| Biggest pos cost            | 5565.0    |
| Volume quote                | 2112460.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.237%    |
| Final balance               | 1687.01   |
| Final equity                | 1687.01   |
| Net PNL + fees              | 187.01    |
| Total gain                  | 13.19%    |
| Average daily gain          | 0.0252%   |
| DG mean std ratio           | 0.03978   |
| Price action distance mean  | 0.034312  |
| Price action distance std   | 0.0517181 |
| Price action distance max   | 0.666164  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8015    |
| Equity/balance ratio std    | 0.007127  |
| No. fills                   | 31633     |
| No. entries                 | 22083     |
| No. closes                  | 9550      |
| No. initial entries         | 8969      |
| No. reentries               | 13101     |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 154       |
| No. normal closes           | 9396      |
| Average n fills per day     | 63.7      |
| Mean hours stuck            | 0.395389  |
| Max hours stuck             | 233.767   |
| PNL sum                     | 197.9     |
| Profit sum                  | 275.2     |
| Loss sum                    | -77.26    |
| Fee sum                     | -10.9     |
| Biggest pos size            | 328.7     |
| Biggest pos cost            | 167.0     |
| Volume quote                | 108994.0  |
+-----------------------------+-----------+
