+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | NEARUSDT  |
| No. days                    | 633.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.291%    |
| Final balance               | 9433.9    |
| Final equity                | 9360.17   |
| Net PNL + fees              | 7933.9    |
| Total gain                  | 555.6%    |
| Average daily gain          | 0.296%    |
| DG mean std ratio           | 0.2546    |
| Price action distance mean  | 0.0119813 |
| Price action distance std   | 0.0191673 |
| Price action distance max   | 0.480916  |
| Closest bankruptcy          | 99.93%    |
| Lowest equity/balance ratio | 0.6752    |
| Equity/balance ratio std    | 0.01197   |
| No. fills                   | 37005     |
| No. entries                 | 21035     |
| No. closes                  | 15970     |
| No. initial entries         | 14134     |
| No. reentries               | 6901      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15970     |
| Average n fills per day     | 58.4      |
| Mean hours stuck            | 0.431187  |
| Max hours stuck             | 185.183   |
| PNL sum                     | 8334.0    |
| Profit sum                  | 8334.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -400.5    |
| Biggest pos size            | 2555.8    |
| Biggest pos cost            | 8960.0    |
| Volume quote                | 4005040.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.271%    |
| Final balance               | 1780.46   |
| Final equity                | 1780.45   |
| Net PNL + fees              | 280.457   |
| Total gain                  | 19.43%    |
| Average daily gain          | 0.0271%   |
| DG mean std ratio           | 0.2359    |
| Price action distance mean  | 0.013695  |
| Price action distance std   | 0.0115974 |
| Price action distance max   | 0.344297  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9471    |
| Equity/balance ratio std    | 0.0008025 |
| No. fills                   | 38055     |
| No. entries                 | 23672     |
| No. closes                  | 14383     |
| No. initial entries         | 13773     |
| No. reentries               | 9899      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14383     |
| Average n fills per day     | 60.1      |
| Mean hours stuck            | 0.408005  |
| Max hours stuck             | 38.2667   |
| PNL sum                     | 291.4     |
| Profit sum                  | 291.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -10.93    |
| Biggest pos size            | 226.2     |
| Biggest pos cost            | 177.0     |
| Volume quote                | 109282.0  |
+-----------------------------+-----------+
