+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XLMUSDT   |
| No. days                    | 902.663   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.26%     |
| Final balance               | 15646.6   |
| Final equity                | 15646.3   |
| Net PNL + fees              | 14146.6   |
| Total gain                  | 972.9%    |
| Average daily gain          | 0.357%    |
| DG mean std ratio           | 0.05734   |
| Price action distance mean  | 0.0103207 |
| Price action distance std   | 0.0258534 |
| Price action distance max   | 0.644748  |
| Closest bankruptcy          | 99.96%    |
| Lowest equity/balance ratio | 0.608     |
| Equity/balance ratio std    | 0.01463   |
| No. fills                   | 29887     |
| No. entries                 | 17030     |
| No. closes                  | 12857     |
| No. initial entries         | 11304     |
| No. reentries               | 5726      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12857     |
| Average n fills per day     | 33.1      |
| Mean hours stuck            | 0.763944  |
| Max hours stuck             | 189.683   |
| PNL sum                     | 14590.0   |
| Profit sum                  | 14590.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -447.2    |
| Biggest pos size            | 127239.0  |
| Biggest pos cost            | 14530.0   |
| Volume quote                | 4471550.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.245%    |
| Final balance               | 1871.06   |
| Final equity                | 1871.03   |
| Net PNL + fees              | 371.057   |
| Total gain                  | 25.63%    |
| Average daily gain          | 0.0248%   |
| DG mean std ratio           | 0.09279   |
| Price action distance mean  | 0.0153646 |
| Price action distance std   | 0.0170264 |
| Price action distance max   | 0.294115  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9632    |
| Equity/balance ratio std    | 0.00196   |
| No. fills                   | 44065     |
| No. entries                 | 28632     |
| No. closes                  | 15433     |
| No. initial entries         | 14349     |
| No. reentries               | 14283     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15433     |
| Average n fills per day     | 48.8      |
| Mean hours stuck            | 0.512367  |
| Max hours stuck             | 275.017   |
| PNL sum                     | 384.5     |
| Profit sum                  | 384.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -13.42    |
| Biggest pos size            | 5027.0    |
| Biggest pos cost            | 186.9     |
| Volume quote                | 134206.0  |
+-----------------------------+-----------+
