+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XMRUSDT    |
| No. days                    | 888.663    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.119%     |
| Final balance               | 4327.87    |
| Final equity                | 4327.87    |
| Net PNL + fees              | 2827.87    |
| Total gain                  | 198.2%     |
| Average daily gain          | 0.122%     |
| DG mean std ratio           | 0.1778     |
| Price action distance mean  | 0.00861209 |
| Price action distance std   | 0.0113383  |
| Price action distance max   | 0.549583   |
| Closest bankruptcy          | 99.7%      |
| Lowest equity/balance ratio | 0.645      |
| Equity/balance ratio std    | 0.005687   |
| No. fills                   | 26918      |
| No. entries                 | 15769      |
| No. closes                  | 11149      |
| No. initial entries         | 10942      |
| No. reentries               | 4827       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 11149      |
| Average n fills per day     | 30.3       |
| Mean hours stuck            | 0.797932   |
| Max hours stuck             | 123.817    |
| PNL sum                     | 2973.0     |
| Profit sum                  | 2973.0     |
| Loss sum                    | 0.0        |
| Fee sum                     | -145.6     |
| Biggest pos size            | 59.36      |
| Biggest pos cost            | 4181.0     |
| Volume quote                | 1455730.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.228%     |
| Final balance               | 2059.15    |
| Final equity                | 2058.69    |
| Net PNL + fees              | 559.15     |
| Total gain                  | 37.8%      |
| Average daily gain          | 0.036%     |
| DG mean std ratio           | 0.1371     |
| Price action distance mean  | 0.0167886  |
| Price action distance std   | 0.0175691  |
| Price action distance max   | 0.171732   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9673     |
| Equity/balance ratio std    | 0.002931   |
| No. fills                   | 7575       |
| No. entries                 | 3776       |
| No. closes                  | 3799       |
| No. initial entries         | 1835       |
| No. reentries               | 1941       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 3799       |
| Average n fills per day     | 8.52       |
| Mean hours stuck            | 3.47134    |
| Max hours stuck             | 326.9      |
| PNL sum                     | 567.0      |
| Profit sum                  | 567.0      |
| Loss sum                    | 0.0        |
| Fee sum                     | -7.828     |
| Biggest pos size            | 6.42       |
| Biggest pos cost            | 319.7      |
| Volume quote                | 78275.6    |
+-----------------------------+------------+
