+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 700.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.178%    |
| Final balance               | 5229.26   |
| Final equity                | 5229.05   |
| Net PNL + fees              | 3729.26   |
| Total gain                  | 259.2%    |
| Average daily gain          | 0.179%    |
| DG mean std ratio           | 0.2334    |
| Price action distance mean  | 0.01561   |
| Price action distance std   | 0.0128395 |
| Price action distance max   | 0.78152   |
| Closest bankruptcy          | 99.79%    |
| Lowest equity/balance ratio | 0.5613    |
| Equity/balance ratio std    | 0.006088  |
| No. fills                   | 24325     |
| No. entries                 | 12735     |
| No. closes                  | 11590     |
| No. initial entries         | 11196     |
| No. reentries               | 1539      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11590     |
| Average n fills per day     | 34.7      |
| Mean hours stuck            | 0.701174  |
| Max hours stuck             | 114.2     |
| PNL sum                     | 3888.0    |
| Profit sum                  | 3888.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -158.8    |
| Biggest pos size            | 711.0     |
| Biggest pos cost            | 5058.0    |
| Volume quote                | 1587750.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0426%   |
| Final balance               | 1545.47   |
| Final equity                | 1545.43   |
| Net PNL + fees              | 45.4695   |
| Total gain                  | 3.083%    |
| Average daily gain          | 0.00426%  |
| DG mean std ratio           | 0.1027    |
| Price action distance mean  | 0.0352487 |
| Price action distance std   | 0.0249634 |
| Price action distance max   | 0.142712  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9934    |
| Equity/balance ratio std    | 0.0003229 |
| No. fills                   | 2394      |
| No. entries                 | 1295      |
| No. closes                  | 1099      |
| No. initial entries         | 1089      |
| No. reentries               | 206       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1099      |
| Average n fills per day     | 3.42      |
| Mean hours stuck            | 7.04228   |
| Max hours stuck             | 201.0     |
| PNL sum                     | 46.24     |
| Profit sum                  | 46.24     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.7695   |
| Biggest pos size            | 20.9      |
| Biggest pos cost            | 150.2     |
| Volume quote                | 7695.01   |
+-----------------------------+-----------+
