+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 687.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.197%    |
| Final balance               | 5824.6    |
| Final equity                | 5820.35   |
| Net PNL + fees              | 4324.6    |
| Total gain                  | 300.6%    |
| Average daily gain          | 0.206%    |
| DG mean std ratio           | 0.1437    |
| Price action distance mean  | 0.021073  |
| Price action distance std   | 0.0256462 |
| Price action distance max   | 0.608913  |
| Closest bankruptcy          | 99.73%    |
| Lowest equity/balance ratio | 0.6222    |
| Equity/balance ratio std    | 0.01409   |
| No. fills                   | 31332     |
| No. entries                 | 17836     |
| No. closes                  | 13496     |
| No. initial entries         | 13358     |
| No. reentries               | 4478      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 18        |
| No. normal closes           | 13478     |
| Average n fills per day     | 45.6      |
| Mean hours stuck            | 1.78645   |
| Max hours stuck             | 99.9833   |
| PNL sum                     | 4508.0    |
| Profit sum                  | 4513.0    |
| Loss sum                    | -4.723    |
| Fee sum                     | -183.7    |
| Biggest pos size            | 304.3     |
| Biggest pos cost            | 5458.0    |
| Volume quote                | 1837110.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.13%     |
| Final balance               | 3655.08   |
| Final equity                | 3651.7    |
| Net PNL + fees              | 2155.08   |
| Total gain                  | 149.7%    |
| Average daily gain          | 0.137%    |
| DG mean std ratio           | 0.1039    |
| Price action distance mean  | 0.0289457 |
| Price action distance std   | 0.0253096 |
| Price action distance max   | 0.185223  |
| Closest bankruptcy          | 62.73%    |
| Lowest equity/balance ratio | 0.7736    |
| Equity/balance ratio std    | 0.01344   |
| No. fills                   | 25162     |
| No. entries                 | 15403     |
| No. closes                  | 9759      |
| No. initial entries         | 9463      |
| No. reentries               | 5940      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9759      |
| Average n fills per day     | 36.6      |
| Mean hours stuck            | 1.63157   |
| Max hours stuck             | 146.567   |
| PNL sum                     | 2246.0    |
| Profit sum                  | 2246.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -90.78    |
| Biggest pos size            | 264.5     |
| Biggest pos cost            | 3608.0    |
| Volume quote                | 907771.0  |
+-----------------------------+-----------+
