+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | CHZUSDT   |
| No. days                    | 567.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.211%    |
| Final balance               | 4951.6    |
| Final equity                | 4942.64   |
| Net PNL + fees              | 3451.6    |
| Total gain                  | 242.4%    |
| Average daily gain          | 0.216%    |
| DG mean std ratio           | 0.2059    |
| Price action distance mean  | 0.0216845 |
| Price action distance std   | 0.0248042 |
| Price action distance max   | 1.48416   |
| Closest bankruptcy          | 99.89%    |
| Lowest equity/balance ratio | 0.4023    |
| Equity/balance ratio std    | 0.009739  |
| No. fills                   | 42091     |
| No. entries                 | 28076     |
| No. closes                  | 14015     |
| No. initial entries         | 13521     |
| No. reentries               | 14554     |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 272       |
| No. normal closes           | 13743     |
| Average n fills per day     | 74.1      |
| Mean hours stuck            | 0.554222  |
| Max hours stuck             | 184.6     |
| PNL sum                     | 3635.0    |
| Profit sum                  | 3642.0    |
| Loss sum                    | -6.791    |
| Fee sum                     | -183.9    |
| Biggest pos size            | 39337.0   |
| Biggest pos cost            | 4003.0    |
| Volume quote                | 1838950.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.144%    |
| Final balance               | 3394.98   |
| Final equity                | 3394.77   |
| Net PNL + fees              | 1894.98   |
| Total gain                  | 132.5%    |
| Average daily gain          | 0.152%    |
| DG mean std ratio           | 0.121     |
| Price action distance mean  | 0.0202328 |
| Price action distance std   | 0.0181894 |
| Price action distance max   | 0.250866  |
| Closest bankruptcy          | 39.46%    |
| Lowest equity/balance ratio | 0.6651    |
| Equity/balance ratio std    | 0.01102   |
| No. fills                   | 22455     |
| No. entries                 | 11967     |
| No. closes                  | 10488     |
| No. initial entries         | 10126     |
| No. reentries               | 1840      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 230       |
| No. normal closes           | 10258     |
| Average n fills per day     | 39.6      |
| Mean hours stuck            | 1.62862   |
| Max hours stuck             | 125.633   |
| PNL sum                     | 1987.0    |
| Profit sum                  | 1997.0    |
| Loss sum                    | -9.588    |
| Fee sum                     | -92.11    |
| Biggest pos size            | 32035.0   |
| Biggest pos cost            | 3379.0    |
| Volume quote                | 921134.0  |
+-----------------------------+-----------+
