+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 687.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.117%    |
| Final balance               | 1625.2    |
| Final equity                | 1625.16   |
| Net PNL + fees              | 125.204   |
| Total gain                  | 8.691%    |
| Average daily gain          | 0.0117%   |
| DG mean std ratio           | 0.15      |
| Price action distance mean  | 0.0234354 |
| Price action distance std   | 0.023732  |
| Price action distance max   | 0.364829  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.976     |
| Equity/balance ratio std    | 0.0007582 |
| No. fills                   | 10231     |
| No. entries                 | 5459      |
| No. closes                  | 4772      |
| No. initial entries         | 4760      |
| No. reentries               | 699       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4772      |
| Average n fills per day     | 14.9      |
| Mean hours stuck            | 2.93058   |
| Max hours stuck             | 137.017   |
| PNL sum                     | 130.4     |
| Profit sum                  | 130.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.159    |
| Biggest pos size            | 14.8      |
| Biggest pos cost            | 154.2     |
| Volume quote                | 51586.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.147%    |
| Final balance               | 1660.1    |
| Final equity                | 1659.89   |
| Net PNL + fees              | 160.098   |
| Total gain                  | 11.06%    |
| Average daily gain          | 0.0148%   |
| DG mean std ratio           | 0.1049    |
| Price action distance mean  | 0.0347362 |
| Price action distance std   | 0.0273584 |
| Price action distance max   | 0.191233  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.979     |
| Equity/balance ratio std    | 0.001967  |
| No. fills                   | 13177     |
| No. entries                 | 7416      |
| No. closes                  | 5761      |
| No. initial entries         | 5744      |
| No. reentries               | 1666      |
| No. unstuck entries         | 6         |
| No. unstuck closes          | 1         |
| No. normal closes           | 5760      |
| Average n fills per day     | 19.2      |
| Mean hours stuck            | 5.26475   |
| Max hours stuck             | 265.417   |
| PNL sum                     | 165.9     |
| Profit sum                  | 166.0     |
| Loss sum                    | -0.128    |
| Fee sum                     | -5.769    |
| Biggest pos size            | 21.0      |
| Biggest pos cost            | 176.3     |
| Volume quote                | 57694.5   |
+-----------------------------+-----------+
