+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XMRUSDT   |
| No. days                    | 878.663   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.218%    |
| Final balance               | 10186.2   |
| Final equity                | 10176.8   |
| Net PNL + fees              | 8686.19   |
| Total gain                  | 596.2%    |
| Average daily gain          | 0.227%    |
| DG mean std ratio           | 0.1654    |
| Price action distance mean  | 0.0118731 |
| Price action distance std   | 0.0130959 |
| Price action distance max   | 0.356827  |
| Closest bankruptcy          | 99.84%    |
| Lowest equity/balance ratio | 0.7367    |
| Equity/balance ratio std    | 0.009844  |
| No. fills                   | 18397     |
| No. entries                 | 10536     |
| No. closes                  | 7861      |
| No. initial entries         | 6679      |
| No. reentries               | 3857      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7861      |
| Average n fills per day     | 20.9      |
| Mean hours stuck            | 1.21237   |
| Max hours stuck             | 154.95    |
| PNL sum                     | 8942.0    |
| Profit sum                  | 8942.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -256.1    |
| Biggest pos size            | 84.68     |
| Biggest pos cost            | 9795.0    |
| Volume quote                | 2561240.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.224%    |
| Final balance               | 1960.38   |
| Final equity                | 1960.3    |
| Net PNL + fees              | 460.383   |
| Total gain                  | 30.99%    |
| Average daily gain          | 0.0308%   |
| DG mean std ratio           | 0.1117    |
| Price action distance mean  | 0.0213007 |
| Price action distance std   | 0.0192779 |
| Price action distance max   | 0.143831  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.977     |
| Equity/balance ratio std    | 0.002677  |
| No. fills                   | 3516      |
| No. entries                 | 1783      |
| No. closes                  | 1733      |
| No. initial entries         | 1049      |
| No. reentries               | 734       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1733      |
| Average n fills per day     | 4.0       |
| Mean hours stuck            | 6.69458   |
| Max hours stuck             | 294.917   |
| PNL sum                     | 464.8     |
| Profit sum                  | 464.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.427    |
| Biggest pos size            | 5.17      |
| Biggest pos cost            | 266.5     |
| Volume quote                | 44272.1   |
+-----------------------------+-----------+
