+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| No. days                    | 865.624    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.407%     |
| Final balance               | 3619.04    |
| Final equity                | 3619.04    |
| Net PNL + fees              | 2119.04    |
| Total gain                  | 144.3%     |
| Average daily gain          | 0.103%     |
| Loss to profit ratio        | 0.08163    |
| Price action distance mean  | 0.00828203 |
| Price action distance std   | 0.0134158  |
| Price action distance max   | 0.755366   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8923     |
| Equity/balance ratio std    | 0.002752   |
| No. fills                   | 76520      |
| No. entries                 | 31415      |
| No. closes                  | 45105      |
| No. initial entries         | 22678      |
| No. reentries               | 4880       |
| No. unstuck entries         | 3857       |
| No. unstuck closes          | 6711       |
| No. normal closes           | 38394      |
| Average n fills per day     | 88.4       |
| Mean hours stuck            | 0.816916   |
| Max hours stuck             | 106.583    |
| PNL sum                     | 2164.0     |
| Profit sum                  | 2357.0     |
| Loss sum                    | -192.4     |
| Fee sum                     | -45.15     |
| Biggest pos size            | 123659.0   |
| Biggest pos cost            | 911.5      |
| Volume quote                | 451506.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -13.2%     |
| Final balance               | 0.0015     |
| Final equity                | 0.299931   |
| Net PNL + fees              | -1670.33   |
| Total gain                  | -111.3%    |
| Average daily gain          | -0.531%    |
| Loss to profit ratio        | 43.5       |
| Price action distance mean  | 1.48062    |
| Price action distance std   | 1.73075    |
| Price action distance max   | 6.64978    |
| Closest bankruptcy          | 0.2748%    |
| Lowest equity/balance ratio | -241.0     |
| Equity/balance ratio std    | 85.97      |
| No. fills                   | 22998      |
| No. entries                 | 3594       |
| No. closes                  | 19403      |
| No. initial entries         | 1234       |
| No. reentries               | 254        |
| No. unstuck entries         | 2106       |
| No. unstuck closes          | 17749      |
| No. normal closes           | 1654       |
| Average n fills per day     | 26.6       |
| Mean hours stuck            | 6.51253    |
| Max hours stuck             | 13954.8    |
| PNL sum                     | -1669.0    |
| Profit sum                  | 39.29      |
| Loss sum                    | -1709.0    |
| Fee sum                     | -0.8629    |
| Biggest pos size            | 53616.0    |
| Biggest pos cost            | 184.0      |
| Volume quote                | 8628.52    |
+-----------------------------+------------+
