+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MANAUSDT   |
| No. days                    | 617.708    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.44%      |
| Final balance               | 2959.54    |
| Final equity                | 2959.55    |
| Net PNL + fees              | 1459.54    |
| Total gain                  | 100.2%     |
| Average daily gain          | 0.109%     |
| Loss to profit ratio        | 0.03465    |
| Price action distance mean  | 0.00934753 |
| Price action distance std   | 0.0172884  |
| Price action distance max   | 1.44738    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.852      |
| Equity/balance ratio std    | 0.003458   |
| No. fills                   | 95625      |
| No. entries                 | 39627      |
| No. closes                  | 55998      |
| No. initial entries         | 35052      |
| No. reentries               | 3580       |
| No. unstuck entries         | 995        |
| No. unstuck closes          | 1979       |
| No. normal closes           | 54019      |
| Average n fills per day     | 155.0      |
| Mean hours stuck            | 0.531533   |
| Max hours stuck             | 54.8833    |
| PNL sum                     | 1503.0     |
| Profit sum                  | 1557.0     |
| Loss sum                    | -53.94     |
| Fee sum                     | -43.19     |
| Biggest pos size            | 1524.8     |
| Biggest pos cost            | 735.5      |
| Volume quote                | 431886.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.235%     |
| Final balance               | 1785.99    |
| Final equity                | 1785.93    |
| Net PNL + fees              | 285.993    |
| Total gain                  | 19.32%     |
| Average daily gain          | 0.0285%    |
| Loss to profit ratio        | 0.08837    |
| Price action distance mean  | 0.016011   |
| Price action distance std   | 0.0264968  |
| Price action distance max   | 0.336111   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9391     |
| Equity/balance ratio std    | 0.004043   |
| No. fills                   | 20129      |
| No. entries                 | 7591       |
| No. closes                  | 12538      |
| No. initial entries         | 5804       |
| No. reentries               | 1634       |
| No. unstuck entries         | 153        |
| No. unstuck closes          | 660        |
| No. normal closes           | 11878      |
| Average n fills per day     | 32.6       |
| Mean hours stuck            | 1.70559    |
| Max hours stuck             | 102.033    |
| PNL sum                     | 289.8      |
| Profit sum                  | 317.9      |
| Loss sum                    | -28.09     |
| Fee sum                     | -3.83      |
| Biggest pos size            | 392.2      |
| Biggest pos cost            | 214.1      |
| Volume quote                | 38305.0    |
+-----------------------------+------------+
