+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | HBARUSDT   |
| No. days                    | 615.708    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.26%      |
| Final balance               | 2237.87    |
| Final equity                | 2237.89    |
| Net PNL + fees              | 737.869    |
| Total gain                  | 50.14%     |
| Average daily gain          | 0.0652%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0094659  |
| Price action distance std   | 0.00896803 |
| Price action distance max   | 0.660923   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9004     |
| Equity/balance ratio std    | 0.001266   |
| No. fills                   | 50206      |
| No. entries                 | 15453      |
| No. closes                  | 34753      |
| No. initial entries         | 13042      |
| No. reentries               | 2411       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 34753      |
| Average n fills per day     | 81.5       |
| Mean hours stuck            | 0.653097   |
| Max hours stuck             | 85.6833    |
| PNL sum                     | 752.1      |
| Profit sum                  | 752.1      |
| Loss sum                    | 0.0        |
| Fee sum                     | -14.24     |
| Biggest pos size            | 11892.0    |
| Biggest pos cost            | 555.1      |
| Volume quote                | 142388.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.306%     |
| Final balance               | 1881.0     |
| Final equity                | 1880.91    |
| Net PNL + fees              | 380.997    |
| Total gain                  | 26.01%     |
| Average daily gain          | 0.0366%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0102658  |
| Price action distance std   | 0.0114506  |
| Price action distance max   | 0.274874   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9544     |
| Equity/balance ratio std    | 0.001434   |
| No. fills                   | 34248      |
| No. entries                 | 16728      |
| No. closes                  | 17520      |
| No. initial entries         | 13816      |
| No. reentries               | 2912       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 17520      |
| Average n fills per day     | 55.6       |
| Mean hours stuck            | 1.3106     |
| Max hours stuck             | 97.7833    |
| PNL sum                     | 390.2      |
| Profit sum                  | 390.2      |
| Loss sum                    | 0.0        |
| Fee sum                     | -9.207     |
| Biggest pos size            | 4639.0     |
| Biggest pos cost            | 225.4      |
| Volume quote                | 92073.8    |
+-----------------------------+------------+
