+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | EOSUSDT   |
| No. days                    | 1049.67   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.161%    |
| Final balance               | 2287.65   |
| Final equity                | 2287.68   |
| Net PNL + fees              | 787.648   |
| Total gain                  | 52.97%    |
| Average daily gain          | 0.0406%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0132447 |
| Price action distance std   | 0.0165351 |
| Price action distance max   | 0.460521  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.921     |
| Equity/balance ratio std    | 0.003341  |
| No. fills                   | 19444     |
| No. entries                 | 6517      |
| No. closes                  | 12927     |
| No. initial entries         | 4887      |
| No. reentries               | 1630      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12927     |
| Average n fills per day     | 18.5      |
| Mean hours stuck            | 2.9181    |
| Max hours stuck             | 311.267   |
| PNL sum                     | 794.6     |
| Profit sum                  | 794.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.954    |
| Biggest pos size            | 611.2     |
| Biggest pos cost            | 568.8     |
| Volume quote                | 69541.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.151%    |
| Final balance               | 1813.18   |
| Final equity                | 1813.14   |
| Net PNL + fees              | 313.176   |
| Total gain                  | 21.15%    |
| Average daily gain          | 0.0183%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0137095 |
| Price action distance std   | 0.0121839 |
| Price action distance max   | 0.299028  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9487    |
| Equity/balance ratio std    | 0.001397  |
| No. fills                   | 19042     |
| No. entries                 | 7205      |
| No. closes                  | 11837     |
| No. initial entries         | 5215      |
| No. reentries               | 1990      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11837     |
| Average n fills per day     | 18.1      |
| Mean hours stuck            | 2.5931    |
| Max hours stuck             | 118.4     |
| PNL sum                     | 317.3     |
| Profit sum                  | 317.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.098    |
| Biggest pos size            | 176.3     |
| Biggest pos cost            | 217.3     |
| Volume quote                | 40976.8   |
+-----------------------------+-----------+
