+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MANAUSDT   |
| No. days                    | 617.708    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.426%     |
| Final balance               | 2897.01    |
| Final equity                | 2888.36    |
| Net PNL + fees              | 1397.01    |
| Total gain                  | 95.08%     |
| Average daily gain          | 0.105%     |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.00863593 |
| Price action distance std   | 0.0160015  |
| Price action distance max   | 1.41952    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8532     |
| Equity/balance ratio std    | 0.003187   |
| No. fills                   | 71635      |
| No. entries                 | 27355      |
| No. closes                  | 44280      |
| No. initial entries         | 23209      |
| No. reentries               | 4146       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 44280      |
| Average n fills per day     | 116.0      |
| Mean hours stuck            | 0.581053   |
| Max hours stuck             | 90.3167    |
| PNL sum                     | 1426.0     |
| Profit sum                  | 1426.0     |
| Loss sum                    | 0.0        |
| Fee sum                     | -29.19     |
| Biggest pos size            | 1875.2     |
| Biggest pos cost            | 725.0      |
| Volume quote                | 291875.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.166%     |
| Final balance               | 1696.18    |
| Final equity                | 1695.99    |
| Net PNL + fees              | 196.179    |
| Total gain                  | 13.53%     |
| Average daily gain          | 0.0199%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0167557  |
| Price action distance std   | 0.0166694  |
| Price action distance max   | 0.234981   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.963      |
| Equity/balance ratio std    | 0.00211    |
| No. fills                   | 69583      |
| No. entries                 | 30284      |
| No. closes                  | 39299      |
| No. initial entries         | 28689      |
| No. reentries               | 1595       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 39299      |
| Average n fills per day     | 113.0      |
| Mean hours stuck            | 0.864834   |
| Max hours stuck             | 253.617    |
| PNL sum                     | 203.0      |
| Profit sum                  | 203.0      |
| Loss sum                    | 0.0        |
| Fee sum                     | -6.84      |
| Biggest pos size            | 393.2      |
| Biggest pos cost            | 202.9      |
| Volume quote                | 68402.1    |
+-----------------------------+------------+
