+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 761.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.459%    |
| Final balance               | 3590.29   |
| Final equity                | 3590.27   |
| Net PNL + fees              | 2090.29   |
| Total gain                  | 141.6%    |
| Average daily gain          | 0.116%    |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0107831 |
| Price action distance std   | 0.0105108 |
| Price action distance max   | 0.3384    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9367    |
| Equity/balance ratio std    | 0.001936  |
| No. fills                   | 51437     |
| No. entries                 | 21835     |
| No. closes                  | 29602     |
| No. initial entries         | 18188     |
| No. reentries               | 3647      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 29602     |
| Average n fills per day     | 67.5      |
| Mean hours stuck            | 1.04041   |
| Max hours stuck             | 100.283   |
| PNL sum                     | 2124.0    |
| Profit sum                  | 2124.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -34.0     |
| Biggest pos size            | 25898.0   |
| Biggest pos cost            | 893.0     |
| Volume quote                | 340032.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.192%    |
| Final balance               | 1787.97   |
| Final equity                | 1787.75   |
| Net PNL + fees              | 287.968   |
| Total gain                  | 19.83%    |
| Average daily gain          | 0.0233%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0159187 |
| Price action distance std   | 0.0141701 |
| Price action distance max   | 0.222335  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9656    |
| Equity/balance ratio std    | 0.00175   |
| No. fills                   | 55506     |
| No. entries                 | 24117     |
| No. closes                  | 31389     |
| No. initial entries         | 20153     |
| No. reentries               | 3964      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 31389     |
| Average n fills per day     | 72.9      |
| Mean hours stuck            | 1.16901   |
| Max hours stuck             | 103.017   |
| PNL sum                     | 297.4     |
| Profit sum                  | 297.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.48     |
| Biggest pos size            | 12400.0   |
| Biggest pos cost            | 214.7     |
| Volume quote                | 94799.0   |
+-----------------------------+-----------+
