+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | NEARUSDT  |
| No. days                    | 623.665   |
| Starting balance            | 10000.0   |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0809%   |
| Final balance               | 16562.8   |
| Final equity                | 16365.2   |
| Net PNL + fees              | 6562.8    |
| Total gain                  | 67.39%    |
| Average daily gain          | 0.0797%   |
| DG mean std ratio           | 0.204     |
| Price action distance mean  | 0.0236572 |
| Price action distance std   | 0.019236  |
| Price action distance max   | 0.434243  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6972    |
| Equity/balance ratio std    | 0.003871  |
| No. fills                   | 8761      |
| No. entries                 | 4677      |
| No. closes                  | 4084      |
| No. initial entries         | 3964      |
| No. reentries               | 713       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4084      |
| Average n fills per day     | 14.0      |
| Mean hours stuck            | 1.73      |
| Max hours stuck             | 74.3833   |
| PNL sum                     | 6739.0    |
| Profit sum                  | 6739.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -176.3    |
| Biggest pos size            | 3291.0    |
| Biggest pos cost            | 15760.0   |
| Volume quote                | 1763220.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0652%   |
| Final balance               | 10415.1   |
| Final equity                | 10415.1   |
| Net PNL + fees              | 415.136   |
| Total gain                  | 4.178%    |
| Average daily gain          | 0.00657%  |
| DG mean std ratio           | 0.06569   |
| Price action distance mean  | 0.0380033 |
| Price action distance std   | 0.0299703 |
| Price action distance max   | 0.407476  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9768    |
| Equity/balance ratio std    | 0.0008157 |
| No. fills                   | 2235      |
| No. entries                 | 1749      |
| No. closes                  | 486       |
| No. initial entries         | 394       |
| No. reentries               | 1355      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 486       |
| Average n fills per day     | 3.58      |
| Mean hours stuck            | 6.98785   |
| Max hours stuck             | 164.183   |
| PNL sum                     | 417.8     |
| Profit sum                  | 417.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.694    |
| Biggest pos size            | 727.9     |
| Biggest pos cost            | 1026.0    |
| Volume quote                | 26936.3   |
+-----------------------------+-----------+
