+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ALGOUSDT  |
| No. days                    | 775.623   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.294%    |
| Final balance               | 14621.6   |
| Final equity                | 14599.4   |
| Net PNL + fees              | 13121.6   |
| Total gain                  | 911.2%    |
| Average daily gain          | 0.305%    |
| DG mean std ratio           | 0.1979    |
| Price action distance mean  | 0.0143514 |
| Price action distance std   | 0.0188123 |
| Price action distance max   | 0.490753  |
| Closest bankruptcy          | 99.99%    |
| Lowest equity/balance ratio | 0.6708    |
| Equity/balance ratio std    | 0.01149   |
| No. fills                   | 41364     |
| No. entries                 | 24610     |
| No. closes                  | 16754     |
| No. initial entries         | 16178     |
| No. reentries               | 8431      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 7         |
| No. normal closes           | 16747     |
| Average n fills per day     | 53.3      |
| Mean hours stuck            | 0.455311  |
| Max hours stuck             | 105.35    |
| PNL sum                     | 13670.0   |
| Profit sum                  | 13730.0   |
| Loss sum                    | -66.05    |
| Fee sum                     | -545.7    |
| Biggest pos size            | 25577.2   |
| Biggest pos cost            | 12030.0   |
| Volume quote                | 5457210.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.26%     |
| Final balance               | 1834.46   |
| Final equity                | 1833.27   |
| Net PNL + fees              | 334.462   |
| Total gain                  | 23.15%    |
| Average daily gain          | 0.026%    |
| DG mean std ratio           | 0.1337    |
| Price action distance mean  | 0.0267654 |
| Price action distance std   | 0.0252305 |
| Price action distance max   | 0.312948  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9546    |
| Equity/balance ratio std    | 0.001703  |
| No. fills                   | 40062     |
| No. entries                 | 30018     |
| No. closes                  | 10044     |
| No. initial entries         | 9435      |
| No. reentries               | 20583     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 10039     |
| Average n fills per day     | 51.7      |
| Mean hours stuck            | 0.508675  |
| Max hours stuck             | 155.917   |
| PNL sum                     | 347.3     |
| Profit sum                  | 347.3     |
| Loss sum                    | -0.009837 |
| Fee sum                     | -12.8     |
| Biggest pos size            | 451.5     |
| Biggest pos cost            | 178.8     |
| Volume quote                | 128007.0  |
+-----------------------------+-----------+
