+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | EOSUSDT   |
| No. days                    | 935.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.146%    |
| Final balance               | 5894.37   |
| Final equity                | 5889.03   |
| Net PNL + fees              | 4394.37   |
| Total gain                  | 303.1%    |
| Average daily gain          | 0.163%    |
| DG mean std ratio           | 0.08621   |
| Price action distance mean  | 0.0132385 |
| Price action distance std   | 0.0154401 |
| Price action distance max   | 0.670261  |
| Closest bankruptcy          | 99.95%    |
| Lowest equity/balance ratio | 0.5987    |
| Equity/balance ratio std    | 0.00948   |
| No. fills                   | 22763     |
| No. entries                 | 12480     |
| No. closes                  | 10283     |
| No. initial entries         | 10017     |
| No. reentries               | 2462      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 11        |
| No. normal closes           | 10272     |
| Average n fills per day     | 24.3      |
| Mean hours stuck            | 0.996404  |
| Max hours stuck             | 116.917   |
| PNL sum                     | 4546.0    |
| Profit sum                  | 4562.0    |
| Loss sum                    | -15.3     |
| Fee sum                     | -152.1    |
| Biggest pos size            | 5679.4    |
| Biggest pos cost            | 5686.0    |
| Volume quote                | 1521240.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0782%   |
| Final balance               | 1613.89   |
| Final equity                | 1610.88   |
| Net PNL + fees              | 113.89    |
| Total gain                  | 7.906%    |
| Average daily gain          | 0.00767%  |
| DG mean std ratio           | 0.07842   |
| Price action distance mean  | 0.0213988 |
| Price action distance std   | 0.0232334 |
| Price action distance max   | 0.205576  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9802    |
| Equity/balance ratio std    | 0.0008329 |
| No. fills                   | 16113     |
| No. entries                 | 10991     |
| No. closes                  | 5122      |
| No. initial entries         | 4874      |
| No. reentries               | 6117      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5122      |
| Average n fills per day     | 17.2      |
| Mean hours stuck            | 1.43534   |
| Max hours stuck             | 232.817   |
| PNL sum                     | 118.6     |
| Profit sum                  | 118.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.693    |
| Biggest pos size            | 58.9      |
| Biggest pos cost            | 160.1     |
| Volume quote                | 46929.5   |
+-----------------------------+-----------+
