+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XLMUSDT   |
| No. days                    | 923.663   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.186%    |
| Final balance               | 8360.38   |
| Final equity                | 8354.27   |
| Net PNL + fees              | 6860.38   |
| Total gain                  | 473.1%    |
| Average daily gain          | 0.206%    |
| DG mean std ratio           | 0.08591   |
| Price action distance mean  | 0.0125825 |
| Price action distance std   | 0.0134027 |
| Price action distance max   | 0.293527  |
| Closest bankruptcy          | 99.99%    |
| Lowest equity/balance ratio | 0.7731    |
| Equity/balance ratio std    | 0.00649   |
| No. fills                   | 34694     |
| No. entries                 | 19392     |
| No. closes                  | 15302     |
| No. initial entries         | 15076     |
| No. reentries               | 4316      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15302     |
| Average n fills per day     | 37.6      |
| Mean hours stuck            | 0.64363   |
| Max hours stuck             | 108.567   |
| PNL sum                     | 7096.0    |
| Profit sum                  | 7096.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -235.4    |
| Biggest pos size            | 52310.0   |
| Biggest pos cost            | 7738.0    |
| Volume quote                | 2354360.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.138%    |
| Final balance               | 1704.42   |
| Final equity                | 1703.89   |
| Net PNL + fees              | 204.42    |
| Total gain                  | 14.23%    |
| Average daily gain          | 0.0139%   |
| DG mean std ratio           | 0.1217    |
| Price action distance mean  | 0.0191151 |
| Price action distance std   | 0.019328  |
| Price action distance max   | 0.269429  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9686    |
| Equity/balance ratio std    | 0.001164  |
| No. fills                   | 31114     |
| No. entries                 | 18592     |
| No. closes                  | 12522     |
| No. initial entries         | 11567     |
| No. reentries               | 7012      |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 217       |
| No. normal closes           | 12305     |
| Average n fills per day     | 33.7      |
| Mean hours stuck            | 0.729352  |
| Max hours stuck             | 190.467   |
| PNL sum                     | 213.5     |
| Profit sum                  | 234.8     |
| Loss sum                    | -21.27    |
| Fee sum                     | -9.064    |
| Biggest pos size            | 2489.0    |
| Biggest pos cost            | 167.8     |
| Volume quote                | 90643.0   |
+-----------------------------+-----------+
