+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 505.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.498%    |
| Final balance               | 1929.5    |
| Final equity                | 1929.32   |
| Net PNL + fees              | 429.499   |
| Total gain                  | 29.77%    |
| Average daily gain          | 0.0482%   |
| DG mean std ratio           | 0.2757    |
| Price action distance mean  | 0.0114159 |
| Price action distance std   | 0.0183134 |
| Price action distance max   | 1.3345    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9429    |
| Equity/balance ratio std    | 0.001414  |
| No. fills                   | 45045     |
| No. entries                 | 30577     |
| No. closes                  | 14468     |
| No. initial entries         | 13457     |
| No. reentries               | 17119     |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 17        |
| No. normal closes           | 14451     |
| Average n fills per day     | 89.1      |
| Mean hours stuck            | 0.282078  |
| Max hours stuck             | 85.0167   |
| PNL sum                     | 446.5     |
| Profit sum                  | 448.2     |
| Loss sum                    | -1.739    |
| Fee sum                     | -16.98    |
| Biggest pos size            | 356.6     |
| Biggest pos cost            | 192.6     |
| Volume quote                | 169811.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.291%    |
| Final balance               | 1738.18   |
| Final equity                | 1735.89   |
| Net PNL + fees              | 238.18    |
| Total gain                  | 16.61%    |
| Average daily gain          | 0.0343%   |
| DG mean std ratio           | 0.03354   |
| Price action distance mean  | 0.126016  |
| Price action distance std   | 0.183021  |
| Price action distance max   | 0.718938  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7442    |
| Equity/balance ratio std    | 0.04064   |
| No. fills                   | 31724     |
| No. entries                 | 27107     |
| No. closes                  | 4617      |
| No. initial entries         | 3617      |
| No. reentries               | 23486     |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 58        |
| No. normal closes           | 4559      |
| Average n fills per day     | 62.7      |
| Mean hours stuck            | 0.625101  |
| Max hours stuck             | 476.217   |
| PNL sum                     | 249.1     |
| Profit sum                  | 285.3     |
| Loss sum                    | -36.2     |
| Fee sum                     | -10.96    |
| Biggest pos size            | 300.2     |
| Biggest pos cost            | 165.8     |
| Volume quote                | 109560.0  |
+-----------------------------+-----------+
