+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MANAUSDT  |
| No. days                    | 505.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.207%    |
| Final balance               | 1665.71   |
| Final equity                | 1665.67   |
| Net PNL + fees              | 165.71    |
| Total gain                  | 11.5%     |
| Average daily gain          | 0.0208%   |
| DG mean std ratio           | 0.2088    |
| Price action distance mean  | 0.0147357 |
| Price action distance std   | 0.0199614 |
| Price action distance max   | 0.721295  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9581    |
| Equity/balance ratio std    | 0.0008702 |
| No. fills                   | 15412     |
| No. entries                 | 8208      |
| No. closes                  | 7204      |
| No. initial entries         | 6705      |
| No. reentries               | 1503      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7204      |
| Average n fills per day     | 30.5      |
| Mean hours stuck            | 0.811078  |
| Max hours stuck             | 195.267   |
| PNL sum                     | 172.6     |
| Profit sum                  | 172.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.851    |
| Biggest pos size            | 244.4     |
| Biggest pos cost            | 164.2     |
| Volume quote                | 68505.9   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1588.76   |
| Final equity                | 1588.76   |
| Net PNL + fees              | 88.7576   |
| Total gain                  | 6.186%    |
| Average daily gain          | 0.0114%   |
| DG mean std ratio           | 0.1671    |
| Price action distance mean  | 0.0157875 |
| Price action distance std   | 0.0134499 |
| Price action distance max   | 0.280327  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9609    |
| Equity/balance ratio std    | 0.0007364 |
| No. fills                   | 17536     |
| No. entries                 | 9573      |
| No. closes                  | 7963      |
| No. initial entries         | 7838      |
| No. reentries               | 1735      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7963      |
| Average n fills per day     | 34.7      |
| Mean hours stuck            | 0.696886  |
| Max hours stuck             | 99.3      |
| PNL sum                     | 92.79     |
| Profit sum                  | 92.79     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.033    |
| Biggest pos size            | 230.6     |
| Biggest pos cost            | 157.7     |
| Volume quote                | 40327.0   |
+-----------------------------+-----------+
