+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 649.706   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.455%    |
| Final balance               | 2016.01   |
| Final equity                | 2011.38   |
| Net PNL + fees              | 516.014   |
| Total gain                  | 36.67%    |
| Average daily gain          | 0.0455%   |
| DG mean std ratio           | 0.1534    |
| Price action distance mean  | 0.0136483 |
| Price action distance std   | 0.0198915 |
| Price action distance max   | 0.249552  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.98      |
| Equity/balance ratio std    | 0.001094  |
| No. fills                   | 83005     |
| No. entries                 | 46021     |
| No. closes                  | 36984     |
| No. initial entries         | 36374     |
| No. reentries               | 9611      |
| No. unstuck entries         | 36        |
| No. unstuck closes          | 193       |
| No. normal closes           | 36791     |
| Average n fills per day     | 128.0     |
| Mean hours stuck            | 0.188983  |
| Max hours stuck             | 90.35     |
| PNL sum                     | 550.0     |
| Profit sum                  | 600.6     |
| Loss sum                    | -50.56    |
| Fee sum                     | -34.02    |
| Biggest pos size            | 8503.0    |
| Biggest pos cost            | 200.1     |
| Volume quote                | 340244.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.128%    |
| Final balance               | 1630.47   |
| Final equity                | 1630.47   |
| Net PNL + fees              | 130.468   |
| Total gain                  | 9.028%    |
| Average daily gain          | 0.0129%   |
| DG mean std ratio           | 0.1632    |
| Price action distance mean  | 0.0166472 |
| Price action distance std   | 0.0157841 |
| Price action distance max   | 0.194081  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.976     |
| Equity/balance ratio std    | 0.0005113 |
| No. fills                   | 19326     |
| No. entries                 | 11292     |
| No. closes                  | 8034      |
| No. initial entries         | 7862      |
| No. reentries               | 3430      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8034      |
| Average n fills per day     | 29.7      |
| Mean hours stuck            | 0.814892  |
| Max hours stuck             | 100.683   |
| PNL sum                     | 135.4     |
| Profit sum                  | 135.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.945    |
| Biggest pos size            | 9593.0    |
| Biggest pos cost            | 161.1     |
| Volume quote                | 49446.5   |
+-----------------------------+-----------+
