+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | NEARUSDT  |
| No. days                    | 656.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.215%    |
| Final balance               | 1727.87   |
| Final equity                | 1727.78   |
| Net PNL + fees              | 227.874   |
| Total gain                  | 15.9%     |
| Average daily gain          | 0.0216%   |
| DG mean std ratio           | 0.2086    |
| Price action distance mean  | 0.0184011 |
| Price action distance std   | 0.020465  |
| Price action distance max   | 0.316803  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9797    |
| Equity/balance ratio std    | 0.0008723 |
| No. fills                   | 35088     |
| No. entries                 | 19263     |
| No. closes                  | 15825     |
| No. initial entries         | 15593     |
| No. reentries               | 3666      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 14        |
| No. normal closes           | 15811     |
| Average n fills per day     | 53.4      |
| Mean hours stuck            | 0.45186   |
| Max hours stuck             | 101.15    |
| PNL sum                     | 238.6     |
| Profit sum                  | 243.4     |
| Loss sum                    | -4.792    |
| Fee sum                     | -10.69    |
| Biggest pos size            | 96.0      |
| Biggest pos cost            | 170.1     |
| Volume quote                | 106895.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.265%    |
| Final balance               | 1785.06   |
| Final equity                | 1784.83   |
| Net PNL + fees              | 285.063   |
| Total gain                  | 19.77%    |
| Average daily gain          | 0.0267%   |
| DG mean std ratio           | 0.1285    |
| Price action distance mean  | 0.0174816 |
| Price action distance std   | 0.0198613 |
| Price action distance max   | 0.314608  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9538    |
| Equity/balance ratio std    | 0.001731  |
| No. fills                   | 34364     |
| No. entries                 | 19534     |
| No. closes                  | 14830     |
| No. initial entries         | 14527     |
| No. reentries               | 5007      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14830     |
| Average n fills per day     | 52.3      |
| Mean hours stuck            | 0.462413  |
| Max hours stuck             | 99.9167   |
| PNL sum                     | 296.6     |
| Profit sum                  | 296.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -11.54    |
| Biggest pos size            | 215.9     |
| Biggest pos cost            | 177.0     |
| Volume quote                | 115353.0  |
+-----------------------------+-----------+
