+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 554.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.201%    |
| Final balance               | 1677.14   |
| Final equity                | 1677.09   |
| Net PNL + fees              | 177.135   |
| Total gain                  | 12.35%    |
| Average daily gain          | 0.0201%   |
| DG mean std ratio           | 0.1767    |
| Price action distance mean  | 0.0221307 |
| Price action distance std   | 0.0202804 |
| Price action distance max   | 0.458262  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9686    |
| Equity/balance ratio std    | 0.001056  |
| No. fills                   | 23382     |
| No. entries                 | 12396     |
| No. closes                  | 10986     |
| No. initial entries         | 10684     |
| No. reentries               | 1684      |
| No. unstuck entries         | 28        |
| No. unstuck closes          | 135       |
| No. normal closes           | 10851     |
| Average n fills per day     | 42.2      |
| Mean hours stuck            | 0.573069  |
| Max hours stuck             | 72.7      |
| PNL sum                     | 185.3     |
| Profit sum                  | 223.7     |
| Loss sum                    | -38.44    |
| Fee sum                     | -8.143    |
| Biggest pos size            | 873.0     |
| Biggest pos cost            | 168.8     |
| Volume quote                | 81432.5   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.182%    |
| Final balance               | 1659.39   |
| Final equity                | 1659.39   |
| Net PNL + fees              | 159.39    |
| Total gain                  | 11.02%    |
| Average daily gain          | 0.0183%   |
| DG mean std ratio           | 0.1291    |
| Price action distance mean  | 0.0191636 |
| Price action distance std   | 0.0193284 |
| Price action distance max   | 0.241711  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9683    |
| Equity/balance ratio std    | 0.001433  |
| No. fills                   | 19966     |
| No. entries                 | 11646     |
| No. closes                  | 8320      |
| No. initial entries         | 8311      |
| No. reentries               | 3332      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 3         |
| No. normal closes           | 8317      |
| Average n fills per day     | 36.0      |
| Mean hours stuck            | 0.669464  |
| Max hours stuck             | 113.35    |
| PNL sum                     | 165.3     |
| Profit sum                  | 165.3     |
| Loss sum                    | -0.01506  |
| Fee sum                     | -5.913    |
| Biggest pos size            | 1285.0    |
| Biggest pos cost            | 163.9     |
| Volume quote                | 59126.0   |
+-----------------------------+-----------+
